date,date_sk,day,month,quarter,year,week
2025-06-23,174,23,6,2,2025,26
2025-06-24,175,24,6,2,2025,26
2025-06-25,176,25,6,2,2025,26
2025-06-26,177,26,6,2,2025,26
2025-06-27,178,27,6,2,2025,26
2025-06-28,179,28,6,2,2025,26
2025-06-29,180,29,6,2,2025,26
2025-06-30,181,30,6,2,2025,27
2025-07-01,182,1,7,3,2025,27
2025-07-02,183,2,7,3,2025,27
2025-07-03,184,3,7,3,2025,27
2025-07-04,185,4,7,3,2025,27
2025-07-05,186,5,7,3,2025,27
2025-07-06,187,6,7,3,2025,27
2025-07-07,188,7,7,3,2025,28
2025-07-08,189,8,7,3,2025,28
2025-07-09,190,9,7,3,2025,28
2025-07-10,191,10,7,3,2025,28
2025-07-11,192,11,7,3,2025,28
2025-07-12,193,12,7,3,2025,28
2025-07-13,194,13,7,3,2025,28
2025-07-14,195,14,7,3,2025,29
2025-07-15,196,15,7,3,2025,29
2025-07-16,197,16,7,3,2025,29
2025-07-17,198,17,7,3,2025,29
2025-07-18,199,18,7,3,2025,29
2025-07-19,200,19,7,3,2025,29
2025-07-20,201,20,7,3,2025,29
2025-07-21,202,21,7,3,2025,30
2025-07-22,203,22,7,3,2025,30
2025-07-23,204,23,7,3,2025,30
2025-07-24,205,24,7,3,2025,30
2025-07-25,206,25,7,3,2025,30
2025-07-26,207,26,7,3,2025,30
2025-07-27,208,27,7,3,2025,30
2025-07-28,209,28,7,3,2025,31
2025-07-29,210,29,7,3,2025,31
2025-07-30,211,30,7,3,2025,31
2025-07-31,212,31,7,3,2025,31
2025-08-01,213,1,8,3,2025,31
2025-08-02,214,2,8,3,2025,31
2025-08-03,215,3,8,3,2025,31
2025-08-04,216,4,8,3,2025,32
2025-08-05,217,5,8,3,2025,32
2025-08-06,218,6,8,3,2025,32
2025-08-07,219,7,8,3,2025,32
2025-08-08,220,8,8,3,2025,32
2025-08-09,221,9,8,3,2025,32
2025-08-10,222,10,8,3,2025,32
2025-08-11,223,11,8,3,2025,33
2025-08-12,224,12,8,3,2025,33
2025-08-13,225,13,8,3,2025,33
2025-08-14,226,14,8,3,2025,33
2025-08-15,227,15,8,3,2025,33
2025-08-16,228,16,8,3,2025,33
2025-08-17,229,17,8,3,2025,33
2025-08-18,230,18,8,3,2025,34
2025-08-19,231,19,8,3,2025,34
2025-08-20,232,20,8,3,2025,34
2025-08-21,233,21,8,3,2025,34
2025-08-22,234,22,8,3,2025,34
2025-08-23,235,23,8,3,2025,34
2025-08-24,236,24,8,3,2025,34
2025-08-25,237,25,8,3,2025,35
2025-08-26,238,26,8,3,2025,35
2025-08-27,239,27,8,3,2025,35
2025-08-28,240,28,8,3,2025,35
2025-08-29,241,29,8,3,2025,35
2025-08-30,242,30,8,3,2025,35
2025-08-31,243,31,8,3,2025,35
2025-09-01,244,1,9,3,2025,36
2025-09-02,245,2,9,3,2025,36
2025-09-03,246,3,9,3,2025,36
2025-09-04,247,4,9,3,2025,36
2025-09-05,248,5,9,3,2025,36
2025-09-06,249,6,9,3,2025,36
2025-09-07,250,7,9,3,2025,36
2025-09-08,251,8,9,3,2025,37
2025-09-09,252,9,9,3,2025,37
2025-09-10,253,10,9,3,2025,37
2025-09-11,254,11,9,3,2025,37
2025-09-12,255,12,9,3,2025,37
2025-09-13,256,13,9,3,2025,37
2025-09-14,257,14,9,3,2025,37
2025-09-15,258,15,9,3,2025,38
2025-09-16,259,16,9,3,2025,38
2025-09-17,260,17,9,3,2025,38
2025-09-18,261,18,9,3,2025,38
2025-09-19,262,19,9,3,2025,38
2025-09-20,263,20,9,3,2025,38
2025-09-21,264,21,9,3,2025,38
2025-09-22,265,22,9,3,2025,39
2025-09-23,266,23,9,3,2025,39
2025-09-24,267,24,9,3,2025,39
2025-09-25,268,25,9,3,2025,39
2025-09-26,269,26,9,3,2025,39
2025-09-27,270,27,9,3,2025,39
2025-09-28,271,28,9,3,2025,39
2025-09-29,272,29,9,3,2025,40
2025-09-30,273,30,9,3,2025,40
