prod_date,machine_id,shift_id,sku,units_good,units_scrap
2025-01-02,10,2,SKU021,302,1
2025-01-02,10,3,SKU011,351,36
2025-01-02,11,1,SKU010,783,66
2025-01-02,11,2,SKU013,554,9
2025-01-02,11,3,SKU007,252,0
2025-01-02,12,1,SKU023,763,97
2025-01-02,12,2,SKU022,462,45
2025-01-02,12,3,SKU010,314,35
2025-01-02,13,1,SKU023,342,40
2025-01-02,14,1,SKU024,403,50
2025-01-02,14,2,SKU013,380,35
2025-01-02,14,3,SKU013,388,38
2025-01-02,15,1,SKU035,382,7
2025-01-02,15,2,SKU031,729,54
2025-01-02,15,3,SKU008,431,40
2025-01-03,1,1,SKU032,257,17
2025-01-03,1,2,SKU027,747,92
2025-01-03,1,3,SKU015,396,4
2025-01-03,2,3,SKU029,408,1
2025-01-03,3,1,SKU027,328,8
2025-01-03,3,3,SKU023,297,11
2025-01-03,4,1,SKU040,594,52
2025-01-03,4,2,SKU005,706,14
2025-01-03,4,3,SKU028,698,54
2025-01-03,5,1,SKU016,597,48
2025-01-03,5,2,SKU029,348,10
2025-01-03,5,3,SKU014,556,6
2025-01-03,6,1,SKU031,547,71
2025-01-03,6,2,SKU012,319,35
2025-01-03,6,3,SKU021,279,34
2025-01-03,7,1,SKU006,642,87
2025-01-03,7,2,SKU034,383,42
2025-01-03,7,3,SKU034,713,19
2025-01-03,8,1,SKU008,730,94
2025-01-03,8,2,SKU016,471,6
2025-01-03,8,3,SKU003,665,52
2025-01-03,9,1,SKU034,400,22
2025-01-03,9,2,SKU010,511,71
2025-01-03,9,3,SKU031,368,14
2025-01-03,10,1,SKU009,648,61
2025-01-03,10,2,SKU036,733,20
2025-01-03,10,3,SKU019,586,11
2025-01-03,11,3,SKU029,252,28
2025-01-03,12,1,SKU013,584,17
2025-01-03,12,2,SKU008,554,62
2025-01-03,12,3,SKU009,466,10
2025-01-03,13,1,SKU016,485,2
2025-01-03,13,2,SKU018,525,8
2025-01-03,13,3,SKU016,212,22
2025-01-03,14,1,SKU002,698,26
2025-01-03,14,2,SKU037,676,13
2025-01-03,14,3,SKU038,795,15
2025-01-03,15,1,SKU006,747,92
2025-01-03,15,3,SKU018,255,25
2025-01-04,1,1,SKU040,307,8
2025-01-04,1,2,SKU039,467,64
2025-01-04,1,3,SKU031,472,64
2025-01-04,2,1,SKU034,661,14
2025-01-04,2,2,SKU003,292,1
2025-01-04,2,3,SKU016,387,25
2025-01-04,3,1,SKU029,637,5
2025-01-04,4,2,SKU003,436,48
2025-01-04,4,3,SKU010,454,2
2025-01-04,5,1,SKU034,273,6
2025-01-04,5,3,SKU008,765,20
2025-01-04,6,1,SKU035,359,13
2025-01-04,6,2,SKU022,694,53
2025-01-04,6,3,SKU020,521,77
2025-01-04,7,1,SKU016,309,40
2025-01-04,7,2,SKU011,281,14
2025-01-04,8,2,SKU005,606,87
2025-01-04,8,3,SKU030,503,33
2025-01-04,9,2,SKU020,657,30
2025-01-04,9,3,SKU040,239,17
2025-01-04,10,1,SKU010,713,93
2025-01-04,10,2,SKU032,697,102
2025-01-04,10,3,SKU031,377,47
2025-01-04,11,1,SKU039,641,32
2025-01-04,11,2,SKU013,248,27
2025-01-04,11,3,SKU016,751,93
2025-01-04,12,1,SKU024,706,98
2025-01-04,12,2,SKU012,508,21
2025-01-04,13,1,SKU004,463,55
2025-01-04,13,2,SKU024,681,47
2025-01-04,13,3,SKU029,691,97
2025-01-04,14,1,SKU010,449,0
2025-01-04,14,2,SKU028,631,31
2025-01-04,14,3,SKU017,325,2
2025-01-04,15,1,SKU023,277,2
2025-01-04,15,2,SKU032,209,20
2025-01-04,15,3,SKU039,485,29
2025-01-05,1,1,SKU022,513,70
2025-01-05,1,2,SKU030,771,64
2025-01-05,1,3,SKU002,759,71
2025-01-05,2,1,SKU002,271,25
2025-01-05,2,2,SKU031,244,28
2025-01-05,2,3,SKU024,206,5
2025-01-05,3,2,SKU030,472,58
2025-01-05,3,3,SKU031,265,21
2025-01-05,4,1,SKU007,479,58
2025-01-05,4,2,SKU025,420,42
2025-01-05,4,3,SKU017,443,6
2025-01-05,5,1,SKU023,300,33
2025-01-05,5,2,SKU017,479,5
2025-01-05,5,3,SKU031,237,11
2025-01-05,6,1,SKU033,428,24
2025-01-05,6,2,SKU034,777,51
2025-01-05,6,3,SKU036,220,23
2025-01-05,7,2,SKU016,496,41
2025-01-05,7,3,SKU031,606,22
2025-01-05,8,1,SKU024,267,7
2025-01-05,8,2,SKU026,375,13
2025-01-05,9,1,SKU018,393,25
2025-01-05,9,2,SKU010,548,63
2025-01-05,10,1,SKU038,401,16
2025-01-05,10,3,SKU038,611,11
2025-01-05,11,2,SKU003,524,38
2025-01-05,11,3,SKU040,452,18
2025-01-05,12,1,SKU034,295,20
2025-01-05,12,2,SKU028,474,58
2025-01-05,12,3,SKU015,380,11
2025-01-05,13,1,SKU021,623,74
2025-01-05,13,2,SKU031,308,33
2025-01-05,13,3,SKU020,467,17
2025-01-05,14,1,SKU003,547,20
2025-01-05,14,2,SKU016,425,17
2025-01-05,14,3,SKU026,374,26
2025-01-05,15,1,SKU036,578,14
2025-01-05,15,3,SKU009,715,32
2025-01-06,1,1,SKU016,240,23
2025-01-06,1,2,SKU017,430,45
2025-01-06,1,3,SKU007,282,1
2025-01-06,2,1,SKU013,426,30
2025-01-06,2,3,SKU024,572,68
2025-01-06,3,1,SKU031,232,11
2025-01-06,3,2,SKU037,462,5
2025-01-06,3,3,SKU020,430,28
2025-01-06,4,1,SKU020,281,34
2025-01-06,4,2,SKU006,766,32
2025-01-06,5,1,SKU001,310,18
2025-01-06,5,2,SKU007,708,1
2025-01-06,5,3,SKU007,297,1
2025-01-06,6,1,SKU011,505,13
2025-01-06,6,2,SKU006,443,54
2025-01-06,6,3,SKU017,602,14
2025-01-06,7,3,SKU014,229,0
2025-01-06,8,1,SKU027,414,47
2025-01-06,8,2,SKU005,772,5
2025-01-06,8,3,SKU036,365,17
2025-01-06,9,1,SKU035,698,70
2025-01-06,9,3,SKU037,657,65
2025-01-06,10,1,SKU016,542,16
2025-01-06,10,2,SKU039,660,33
2025-01-06,10,3,SKU011,211,12
2025-01-06,11,1,SKU029,559,34
2025-01-06,11,3,SKU004,402,31
2025-01-06,12,1,SKU004,532,14
2025-01-06,12,2,SKU039,468,38
2025-01-06,12,3,SKU038,454,61
2025-01-06,13,1,SKU016,712,19
2025-01-06,13,2,SKU017,254,29
2025-01-06,13,3,SKU004,285,2
2025-01-06,14,1,SKU032,676,21
2025-01-06,14,2,SKU031,763,86
2025-01-06,14,3,SKU011,453,8
2025-01-06,15,1,SKU021,270,36
2025-01-06,15,2,SKU021,543,44
2025-01-06,15,3,SKU021,250,7
2025-01-07,1,1,SKU011,692,62
2025-01-07,1,2,SKU024,577,31
2025-01-07,2,1,SKU019,630,71
2025-01-07,2,2,SKU009,644,16
2025-01-07,2,3,SKU016,300,31
2025-01-07,3,1,SKU005,215,10
2025-01-07,3,2,SKU039,337,10
2025-01-07,3,3,SKU020,367,47
2025-01-07,4,2,SKU019,429,18
2025-01-07,4,3,SKU021,246,30
2025-01-07,5,1,SKU009,311,7
2025-01-07,5,2,SKU032,479,32
2025-01-07,5,3,SKU009,734,101
2025-01-07,6,1,SKU004,543,44
2025-01-07,6,2,SKU021,436,8
2025-01-07,7,1,SKU033,682,35
2025-01-07,7,2,SKU003,469,60
2025-01-07,8,1,SKU020,513,17
2025-01-07,8,2,SKU015,654,7
2025-01-07,8,3,SKU012,687,44
2025-01-07,9,1,SKU019,650,93
2025-01-07,9,2,SKU017,225,24
2025-01-07,9,3,SKU016,306,3
2025-01-07,10,1,SKU010,772,65
2025-01-07,10,2,SKU024,669,32
2025-01-07,10,3,SKU028,651,74
2025-01-07,11,1,SKU024,781,64
2025-01-07,11,2,SKU019,549,63
2025-01-07,11,3,SKU020,520,48
2025-01-07,12,1,SKU024,281,34
2025-01-07,12,2,SKU022,389,23
2025-01-07,12,3,SKU031,423,43
2025-01-07,13,1,SKU022,304,25
2025-01-07,13,2,SKU034,690,69
2025-01-07,13,3,SKU037,430,15
2025-01-07,14,1,SKU025,709,19
2025-01-07,14,2,SKU037,520,25
2025-01-07,14,3,SKU020,481,35
2025-01-07,15,1,SKU037,671,17
2025-01-07,15,2,SKU040,514,45
2025-01-07,15,3,SKU030,617,12
2025-01-08,1,1,SKU024,789,89
2025-01-08,1,2,SKU031,464,55
2025-01-08,1,3,SKU036,668,25
2025-01-08,2,2,SKU001,489,33
2025-01-08,2,3,SKU010,504,36
2025-01-08,3,1,SKU007,317,13
2025-01-08,3,2,SKU035,329,46
2025-01-08,3,3,SKU006,335,17
2025-01-08,4,1,SKU030,368,20
2025-01-08,4,2,SKU002,684,77
2025-01-08,4,3,SKU009,442,28
2025-01-08,5,1,SKU031,329,43
2025-01-08,5,3,SKU003,641,47
2025-01-08,6,1,SKU011,782,51
2025-01-08,6,2,SKU032,761,77
2025-01-08,6,3,SKU006,694,49
2025-01-08,7,1,SKU014,783,22
2025-01-08,7,2,SKU028,295,39
2025-01-08,7,3,SKU029,255,31
2025-01-08,8,2,SKU014,433,58
2025-01-08,8,3,SKU035,240,17
2025-01-08,9,1,SKU023,702,59
2025-01-08,9,2,SKU034,607,56
2025-01-08,9,3,SKU040,751,91
2025-01-08,10,1,SKU027,669,70
2025-01-08,10,3,SKU036,329,22
2025-01-08,11,3,SKU017,764,75
2025-01-08,12,1,SKU017,330,37
2025-01-08,12,2,SKU017,468,14
2025-01-08,12,3,SKU016,641,13
2025-01-08,13,1,SKU034,652,4
2025-01-08,13,2,SKU023,424,50
2025-01-08,13,3,SKU021,340,25
2025-01-08,14,1,SKU012,513,57
2025-01-08,14,2,SKU020,393,18
2025-01-08,14,3,SKU026,353,5
2025-01-08,15,1,SKU007,653,29
2025-01-08,15,2,SKU012,595,3
2025-01-08,15,3,SKU037,546,75
2025-01-09,1,1,SKU011,715,65
2025-01-09,1,2,SKU031,292,9
2025-01-09,1,3,SKU029,535,77
2025-01-09,2,1,SKU030,352,40
2025-01-09,2,3,SKU009,470,42
2025-01-09,3,3,SKU033,512,67
2025-01-09,4,1,SKU025,371,18
2025-01-09,4,2,SKU038,202,11
2025-01-09,4,3,SKU002,289,3
2025-01-09,5,1,SKU034,399,32
2025-01-09,5,2,SKU003,333,45
2025-01-09,5,3,SKU037,322,28
2025-01-09,6,1,SKU029,556,20
2025-01-09,7,1,SKU038,255,33
2025-01-09,7,2,SKU013,702,23
2025-01-09,7,3,SKU005,275,27
2025-01-09,8,1,SKU026,357,8
2025-01-09,8,3,SKU021,399,10
2025-01-09,9,1,SKU004,511,51
2025-01-09,9,2,SKU027,570,2
2025-01-09,9,3,SKU005,338,29
2025-01-09,10,2,SKU037,584,52
2025-01-09,10,3,SKU021,273,35
2025-01-09,11,1,SKU006,277,15
2025-01-09,11,2,SKU028,775,91
2025-01-09,11,3,SKU026,306,30
2025-01-09,12,3,SKU002,752,97
2025-01-09,13,1,SKU037,386,20
2025-01-09,13,2,SKU021,630,41
2025-01-09,13,3,SKU010,627,65
2025-01-09,14,3,SKU021,678,28
2025-01-09,15,2,SKU005,257,7
2025-01-10,1,1,SKU002,637,5
2025-01-10,1,2,SKU005,502,49
2025-01-10,2,2,SKU018,589,13
2025-01-10,2,3,SKU028,700,93
2025-01-10,3,1,SKU025,724,62
2025-01-10,3,2,SKU017,690,42
2025-01-10,3,3,SKU001,794,23
2025-01-10,4,1,SKU020,785,46
2025-01-10,4,2,SKU022,435,27
2025-01-10,4,3,SKU014,234,18
2025-01-10,5,1,SKU011,661,53
2025-01-10,5,2,SKU036,502,74
2025-01-10,5,3,SKU012,755,19
2025-01-10,6,3,SKU030,479,46
2025-01-10,7,1,SKU035,547,65
2025-01-10,7,2,SKU031,631,59
2025-01-10,7,3,SKU014,328,45
2025-01-10,8,1,SKU011,684,70
2025-01-10,8,2,SKU022,765,39
2025-01-10,8,3,SKU022,355,22
2025-01-10,9,1,SKU025,547,54
2025-01-10,10,2,SKU033,306,7
2025-01-10,10,3,SKU039,578,74
2025-01-10,11,2,SKU016,512,46
2025-01-10,11,3,SKU009,772,33
2025-01-10,12,1,SKU014,276,4
2025-01-10,12,3,SKU033,755,1
2025-01-10,13,1,SKU030,280,40
2025-01-10,13,2,SKU008,350,21
2025-01-10,13,3,SKU028,323,46
2025-01-10,14,1,SKU027,665,39
2025-01-10,14,2,SKU029,742,105
2025-01-10,14,3,SKU010,446,20
2025-01-10,15,2,SKU031,503,23
2025-01-10,15,3,SKU036,687,9
2025-01-11,1,1,SKU001,794,33
2025-01-11,1,2,SKU002,450,64
2025-01-11,1,3,SKU028,296,14
2025-01-11,2,1,SKU009,524,36
2025-01-11,2,2,SKU005,390,32
2025-01-11,2,3,SKU005,517,61
2025-01-11,3,1,SKU019,282,7
2025-01-11,3,2,SKU022,393,24
2025-01-11,4,1,SKU033,506,55
2025-01-11,4,2,SKU005,326,36
2025-01-11,4,3,SKU034,354,42
2025-01-11,5,1,SKU040,662,41
2025-01-11,5,2,SKU036,667,53
2025-01-11,5,3,SKU008,542,58
2025-01-11,6,1,SKU016,723,70
2025-01-11,6,2,SKU019,761,32
2025-01-11,7,1,SKU032,617,82
2025-01-11,8,1,SKU017,256,37
2025-01-11,8,2,SKU017,244,32
2025-01-11,8,3,SKU020,269,21
2025-01-11,9,1,SKU022,420,41
2025-01-11,9,2,SKU013,305,37
2025-01-11,10,1,SKU028,541,35
2025-01-11,10,2,SKU001,241,34
2025-01-11,10,3,SKU018,721,80
2025-01-11,11,1,SKU027,357,41
2025-01-11,11,2,SKU013,736,107
2025-01-11,11,3,SKU004,414,46
2025-01-11,12,1,SKU009,288,32
2025-01-11,12,2,SKU021,607,49
2025-01-11,12,3,SKU005,714,63
2025-01-11,13,1,SKU003,342,50
2025-01-11,13,2,SKU002,661,76
2025-01-11,14,1,SKU004,526,69
2025-01-11,14,2,SKU004,721,48
2025-01-11,14,3,SKU003,733,21
2025-01-11,15,1,SKU036,394,38
2025-01-11,15,2,SKU024,323,44
2025-01-11,15,3,SKU020,316,21
2025-01-12,1,1,SKU015,372,30
2025-01-12,1,2,SKU037,656,5
2025-01-12,1,3,SKU027,644,8
2025-01-12,2,1,SKU017,728,89
2025-01-12,2,2,SKU024,313,20
2025-01-12,2,3,SKU021,549,32
2025-01-12,3,2,SKU024,466,28
2025-01-12,3,3,SKU036,731,18
2025-01-12,4,1,SKU029,612,74
2025-01-12,4,2,SKU002,778,61
2025-01-12,4,3,SKU012,369,45
2025-01-12,5,1,SKU014,708,10
2025-01-12,5,2,SKU025,701,9
2025-01-12,5,3,SKU013,239,16
2025-01-12,6,2,SKU039,292,5
2025-01-12,7,1,SKU019,274,20
2025-01-12,7,2,SKU020,718,43
2025-01-12,7,3,SKU025,749,61
2025-01-12,8,1,SKU033,585,41
2025-01-12,8,2,SKU032,793,114
2025-01-12,8,3,SKU004,424,57
2025-01-12,9,1,SKU034,357,49
2025-01-12,9,2,SKU023,275,38
2025-01-12,9,3,SKU004,324,35
2025-01-12,10,1,SKU004,220,9
2025-01-12,11,2,SKU027,200,7
2025-01-12,12,1,SKU016,526,4
2025-01-12,12,2,SKU029,750,70
2025-01-12,12,3,SKU039,571,73
2025-01-12,13,1,SKU039,415,61
2025-01-12,13,2,SKU004,571,11
2025-01-12,13,3,SKU032,797,24
2025-01-12,14,1,SKU023,705,99
2025-01-12,14,2,SKU016,799,94
2025-01-12,14,3,SKU037,694,34
2025-01-12,15,1,SKU003,749,33
2025-01-12,15,2,SKU008,656,87
2025-01-12,15,3,SKU015,603,63
2025-01-13,1,1,SKU030,767,10
2025-01-13,1,2,SKU016,230,5
2025-01-13,1,3,SKU021,716,70
2025-01-13,2,1,SKU028,227,18
2025-01-13,2,3,SKU010,791,62
2025-01-13,3,1,SKU036,763,87
2025-01-13,3,2,SKU007,435,35
2025-01-13,3,3,SKU010,762,49
2025-01-13,4,1,SKU030,714,8
2025-01-13,4,2,SKU031,783,49
2025-01-13,4,3,SKU001,269,7
2025-01-13,5,1,SKU018,513,46
2025-01-13,5,3,SKU025,599,34
2025-01-13,6,1,SKU020,480,43
2025-01-13,6,2,SKU017,256,18
2025-01-13,6,3,SKU013,345,47
2025-01-13,7,1,SKU006,538,23
2025-01-13,7,2,SKU018,708,12
2025-01-13,7,3,SKU014,302,40
2025-01-13,8,1,SKU008,532,46
2025-01-13,8,2,SKU018,671,95
2025-01-13,8,3,SKU001,779,93
2025-01-13,9,1,SKU027,265,24
2025-01-13,9,3,SKU032,624,23
2025-01-13,10,1,SKU011,366,36
2025-01-13,10,2,SKU029,236,32
2025-01-13,10,3,SKU032,399,39
2025-01-13,11,1,SKU001,594,52
2025-01-13,11,2,SKU004,678,58
2025-01-13,11,3,SKU009,468,33
2025-01-13,12,1,SKU010,265,18
2025-01-13,12,2,SKU016,418,15
2025-01-13,12,3,SKU004,635,59
2025-01-13,13,3,SKU003,663,36
2025-01-13,14,1,SKU011,468,26
2025-01-13,14,2,SKU016,492,23
2025-01-13,14,3,SKU022,205,19
2025-01-13,15,1,SKU039,430,7
2025-01-13,15,2,SKU028,569,51
2025-01-13,15,3,SKU016,537,50
2025-01-14,1,1,SKU001,704,23
2025-01-14,1,2,SKU011,244,33
2025-01-14,2,1,SKU027,200,3
2025-01-14,2,2,SKU027,276,10
2025-01-14,2,3,SKU036,347,18
2025-01-14,3,1,SKU005,270,8
2025-01-14,3,2,SKU013,412,43
2025-01-14,4,1,SKU031,674,66
2025-01-14,4,2,SKU006,421,27
2025-01-14,4,3,SKU020,693,37
2025-01-14,5,1,SKU030,755,33
2025-01-14,5,2,SKU001,795,24
2025-01-14,6,2,SKU025,766,73
2025-01-14,6,3,SKU027,422,47
2025-01-14,7,2,SKU025,370,21
2025-01-14,7,3,SKU008,618,38
2025-01-14,8,1,SKU018,266,9
2025-01-14,8,2,SKU018,603,20
2025-01-14,8,3,SKU019,322,19
2025-01-14,9,1,SKU031,313,26
2025-01-14,9,2,SKU004,619,21
2025-01-14,9,3,SKU024,690,9
2025-01-14,10,1,SKU038,261,25
2025-01-14,10,2,SKU037,693,85
2025-01-14,10,3,SKU030,476,49
2025-01-14,11,1,SKU021,378,37
2025-01-14,11,2,SKU027,599,30
2025-01-14,11,3,SKU034,293,16
2025-01-14,12,1,SKU020,796,50
2025-01-14,12,3,SKU015,608,54
2025-01-14,13,1,SKU040,283,21
2025-01-14,13,2,SKU001,435,2
2025-01-14,13,3,SKU039,667,75
2025-01-14,14,2,SKU030,678,58
2025-01-14,14,3,SKU018,442,33
2025-01-14,15,1,SKU018,384,8
2025-01-14,15,3,SKU013,437,14
2025-01-15,1,2,SKU001,779,96
2025-01-15,1,3,SKU035,660,42
2025-01-15,2,1,SKU018,263,30
2025-01-15,2,2,SKU005,796,48
2025-01-15,3,1,SKU026,794,3
2025-01-15,3,2,SKU029,743,61
2025-01-15,3,3,SKU028,223,32
2025-01-15,4,1,SKU038,618,17
2025-01-15,4,2,SKU030,591,25
2025-01-15,4,3,SKU019,231,24
2025-01-15,5,1,SKU018,668,67
2025-01-15,5,2,SKU020,203,13
2025-01-15,5,3,SKU005,794,72
2025-01-15,6,1,SKU032,461,34
2025-01-15,6,2,SKU009,261,19
2025-01-15,6,3,SKU008,461,66
2025-01-15,7,1,SKU028,711,5
2025-01-15,7,2,SKU028,743,43
2025-01-15,7,3,SKU005,376,8
2025-01-15,8,1,SKU017,521,5
2025-01-15,8,2,SKU014,487,39
2025-01-15,8,3,SKU028,385,41
2025-01-15,9,1,SKU005,308,15
2025-01-15,9,2,SKU013,732,82
2025-01-15,10,1,SKU035,219,5
2025-01-15,10,2,SKU012,279,37
2025-01-15,10,3,SKU017,409,52
2025-01-15,11,1,SKU015,415,53
2025-01-15,11,2,SKU036,314,41
2025-01-15,11,3,SKU001,569,72
2025-01-15,12,1,SKU026,794,112
2025-01-15,12,2,SKU003,280,33
2025-01-15,12,3,SKU021,240,31
2025-01-15,13,1,SKU017,382,39
2025-01-15,13,2,SKU004,312,39
2025-01-15,13,3,SKU039,307,32
2025-01-15,14,1,SKU011,248,35
2025-01-15,14,2,SKU010,609,17
2025-01-15,14,3,SKU020,448,34
2025-01-15,15,1,SKU013,582,71
2025-01-15,15,2,SKU008,262,24
2025-01-15,15,3,SKU033,486,31
2025-01-16,1,1,SKU025,525,68
2025-01-16,1,3,SKU009,588,28
2025-01-16,2,1,SKU006,732,86
2025-01-16,2,2,SKU012,345,43
2025-01-16,2,3,SKU025,717,86
2025-01-16,3,1,SKU020,219,14
2025-01-16,3,2,SKU025,488,42
2025-01-16,3,3,SKU014,642,79
2025-01-16,4,1,SKU022,298,27
2025-01-16,4,2,SKU016,537,76
2025-01-16,5,2,SKU002,606,79
2025-01-16,5,3,SKU011,240,0
2025-01-16,6,1,SKU017,365,12
2025-01-16,6,2,SKU004,469,22
2025-01-16,6,3,SKU001,203,8
2025-01-16,7,3,SKU010,429,35
2025-01-16,8,1,SKU005,725,78
2025-01-16,8,2,SKU031,710,17
2025-01-16,8,3,SKU027,427,27
2025-01-16,9,1,SKU014,663,40
2025-01-16,9,2,SKU005,372,25
2025-01-16,9,3,SKU016,639,35
2025-01-16,10,1,SKU030,498,53
2025-01-16,10,2,SKU008,673,51
2025-01-16,10,3,SKU009,628,35
2025-01-16,11,1,SKU031,708,85
2025-01-16,11,2,SKU031,632,82
2025-01-16,11,3,SKU007,414,15
2025-01-16,12,1,SKU024,272,15
2025-01-16,12,2,SKU016,418,40
2025-01-16,12,3,SKU035,665,33
2025-01-16,13,1,SKU006,275,34
2025-01-16,13,2,SKU032,316,46
2025-01-16,13,3,SKU011,411,10
2025-01-16,14,1,SKU040,406,18
2025-01-16,14,2,SKU027,781,80
2025-01-16,14,3,SKU023,624,33
2025-01-16,15,1,SKU030,472,4
2025-01-16,15,3,SKU031,363,19
2025-01-17,1,1,SKU018,363,27
2025-01-17,1,2,SKU008,358,28
2025-01-17,1,3,SKU015,616,40
2025-01-17,2,1,SKU017,471,20
2025-01-17,2,2,SKU009,786,114
2025-01-17,2,3,SKU012,522,52
2025-01-17,3,1,SKU015,731,98
2025-01-17,3,3,SKU007,450,46
2025-01-17,4,1,SKU015,755,74
2025-01-17,4,2,SKU017,655,68
2025-01-17,4,3,SKU028,619,21
2025-01-17,5,1,SKU038,621,27
2025-01-17,5,2,SKU016,535,67
2025-01-17,5,3,SKU036,361,44
2025-01-17,6,2,SKU012,510,3
2025-01-17,6,3,SKU002,589,16
2025-01-17,7,1,SKU007,798,23
2025-01-17,7,2,SKU033,297,21
2025-01-17,7,3,SKU036,200,21
2025-01-17,8,1,SKU027,352,11
2025-01-17,8,2,SKU004,383,28
2025-01-17,8,3,SKU010,668,71
2025-01-17,9,1,SKU019,416,30
2025-01-17,9,2,SKU003,443,46
2025-01-17,9,3,SKU007,743,29
2025-01-17,10,1,SKU003,669,11
2025-01-17,10,2,SKU005,562,44
2025-01-17,10,3,SKU012,344,38
2025-01-17,11,1,SKU015,676,68
2025-01-17,12,1,SKU028,470,46
2025-01-17,12,2,SKU017,581,82
2025-01-17,12,3,SKU029,322,33
2025-01-17,13,1,SKU027,272,11
2025-01-17,13,3,SKU036,557,26
2025-01-17,14,2,SKU004,534,31
2025-01-17,15,3,SKU039,339,9
2025-01-18,1,1,SKU002,375,3
2025-01-18,1,3,SKU011,395,11
2025-01-18,2,1,SKU009,788,58
2025-01-18,2,2,SKU008,739,36
2025-01-18,2,3,SKU028,395,49
2025-01-18,3,1,SKU037,395,12
2025-01-18,3,3,SKU034,269,14
2025-01-18,4,3,SKU035,251,7
2025-01-18,5,1,SKU035,734,25
2025-01-18,5,2,SKU029,384,6
2025-01-18,5,3,SKU037,200,5
2025-01-18,6,1,SKU009,405,19
2025-01-18,6,2,SKU040,655,44
2025-01-18,7,1,SKU036,377,17
2025-01-18,7,2,SKU033,735,102
2025-01-18,7,3,SKU008,285,32
2025-01-18,8,1,SKU024,320,33
2025-01-18,8,2,SKU023,430,4
2025-01-18,8,3,SKU010,437,11
2025-01-18,9,3,SKU020,615,71
2025-01-18,10,1,SKU020,386,19
2025-01-18,10,3,SKU011,547,66
2025-01-18,11,1,SKU038,330,39
2025-01-18,11,2,SKU003,639,81
2025-01-18,11,3,SKU033,202,29
2025-01-18,12,1,SKU004,786,45
2025-01-18,12,2,SKU012,279,8
2025-01-18,12,3,SKU021,463,44
2025-01-18,13,1,SKU029,693,1
2025-01-18,13,3,SKU023,375,11
2025-01-18,14,2,SKU034,671,33
2025-01-18,14,3,SKU039,700,75
2025-01-18,15,1,SKU015,463,53
2025-01-18,15,2,SKU032,737,4
2025-01-18,15,3,SKU016,667,63
2025-01-19,1,1,SKU003,519,1
2025-01-19,1,2,SKU025,707,11
2025-01-19,2,2,SKU009,766,73
2025-01-19,2,3,SKU022,714,87
2025-01-19,3,1,SKU022,627,0
2025-01-19,3,2,SKU034,415,3
2025-01-19,3,3,SKU034,616,44
2025-01-19,4,1,SKU037,468,54
2025-01-19,4,3,SKU013,446,53
2025-01-19,5,1,SKU014,532,18
2025-01-19,5,2,SKU016,265,17
2025-01-19,5,3,SKU031,707,60
2025-01-19,6,1,SKU028,416,12
2025-01-19,6,2,SKU031,628,56
2025-01-19,6,3,SKU040,534,37
2025-01-19,7,1,SKU036,339,25
2025-01-19,7,2,SKU028,252,9
2025-01-19,7,3,SKU039,608,22
2025-01-19,8,1,SKU017,689,6
2025-01-19,8,3,SKU026,701,55
