down_date,machine_id,failure_mode,minutes_down
2025-01-21,7,Breakdown,55
2025-01-21,8,Setup,63
2025-01-21,11,Setup,76
2025-01-21,11,Breakdown,59
2025-01-21,12,Breakdown,14
2025-01-21,12,Breakdown,82
2025-01-21,13,Material,50
2025-01-21,14,Plannedmaintenance,69
2025-01-21,14,Setup,65
2025-01-22,1,Setup,53
2025-01-22,2,Breakdown,13
2025-01-22,3,Plannedmaintenance,73
2025-01-22,4,Breakdown,34
2025-01-22,4,Setup,30
2025-01-22,5,Setup,75
2025-01-22,5,Breakdown,62
2025-01-22,6,Breakdown,66
2025-01-22,6,Breakdown,42
2025-01-22,7,Breakdown,25
2025-01-22,7,Setup,26
2025-01-22,10,Quality,55
2025-01-22,12,Breakdown,26
2025-01-22,12,Setup,74
2025-01-22,14,Setup,27
2025-01-22,15,Plannedmaintenance,16
2025-01-23,1,Breakdown,87
2025-01-23,4,Breakdown,55
2025-01-23,5,Breakdown,58
2025-01-23,6,Setup,32
2025-01-23,6,Setup,29
2025-01-23,7,Breakdown,22
2025-01-23,7,Setup,34
2025-01-23,8,Setup,88
2025-01-23,8,Breakdown,22
2025-01-23,10,Setup,49
2025-01-23,11,Setup,48
2025-01-23,14,Plannedmaintenance,62
2025-01-23,15,Breakdown,69
2025-01-23,15,Breakdown,85
2025-01-24,1,Quality,10
2025-01-24,2,Setup,10
2025-01-24,3,Setup,70
2025-01-24,3,Quality,34
2025-01-24,4,Breakdown,78
2025-01-24,6,Breakdown,36
2025-01-24,7,Breakdown,14
2025-01-24,8,Material,75
2025-01-24,8,Setup,84
2025-01-24,12,Material,27
2025-01-24,15,Quality,54
2025-01-24,15,Setup,60
2025-01-25,2,Setup,54
2025-01-25,4,Breakdown,41
2025-01-25,4,Setup,23
2025-01-25,5,Setup,59
2025-01-25,8,Setup,81
2025-01-25,8,Breakdown,49
2025-01-25,10,Quality,13
2025-01-25,11,Breakdown,35
2025-01-25,12,Breakdown,37
2025-01-25,14,Material,74
2025-01-26,1,Breakdown,47
2025-01-26,1,Material,29
2025-01-26,2,Quality,14
2025-01-26,3,Quality,43
2025-01-26,5,Plannedmaintenance,27
2025-01-26,5,Setup,20
2025-01-26,6,Setup,48
2025-01-26,7,Quality,84
2025-01-26,7,Setup,58
2025-01-26,8,Quality,70
2025-01-26,8,Quality,64
2025-01-26,9,Breakdown,26
2025-01-26,9,Setup,52
2025-01-26,10,Plannedmaintenance,66
2025-01-26,11,Breakdown,75
2025-01-26,11,Breakdown,13
2025-01-26,13,Setup,15
2025-01-26,15,Setup,11
2025-01-26,15,Material,30
2025-01-27,1,Quality,84
2025-01-27,3,Plannedmaintenance,13
2025-01-27,4,Breakdown,51
2025-01-27,5,Plannedmaintenance,83
2025-01-27,6,Material,60
2025-01-27,7,Quality,47
2025-01-27,7,Breakdown,12
2025-01-27,8,Plannedmaintenance,33
2025-01-27,8,Plannedmaintenance,23
2025-01-27,9,Setup,13
2025-01-27,9,Breakdown,30
2025-01-27,10,Breakdown,26
2025-01-27,11,Setup,59
2025-01-27,11,Plannedmaintenance,37
2025-01-27,12,Breakdown,13
2025-01-27,13,Breakdown,64
2025-01-27,15,Breakdown,60
2025-01-28,1,Breakdown,60
2025-01-28,2,Material,77
2025-01-28,2,Quality,45
2025-01-28,3,Breakdown,12
2025-01-28,3,Setup,75
2025-01-28,4,Breakdown,88
2025-01-28,5,Breakdown,13
2025-01-28,5,Breakdown,42
2025-01-28,6,Breakdown,52
2025-01-28,7,Material,80
2025-01-28,7,Breakdown,82
2025-01-28,9,Breakdown,80
2025-01-28,9,Plannedmaintenance,70
2025-01-28,11,Setup,63
2025-01-28,12,Breakdown,24
2025-01-28,14,Material,51
2025-01-28,14,Setup,22
2025-01-28,15,Breakdown,49
2025-01-28,15,Material,14
2025-01-29,1,Setup,41
2025-01-29,1,Quality,49
2025-01-29,4,Plannedmaintenance,80
2025-01-29,5,Setup,73
2025-01-29,6,Material,81
2025-01-29,7,Plannedmaintenance,29
2025-01-29,10,Plannedmaintenance,33
2025-01-29,10,Breakdown,26
2025-01-29,11,Quality,25
2025-01-29,13,Plannedmaintenance,78
2025-01-29,13,Material,64
2025-01-30,1,Quality,32
2025-01-30,2,Breakdown,42
2025-01-30,3,Breakdown,30
2025-01-30,6,Material,44
2025-01-30,7,Material,34
2025-01-30,7,Material,61
2025-01-30,9,Quality,33
2025-01-30,9,Quality,44
2025-01-30,10,Breakdown,62
2025-01-30,11,Breakdown,18
2025-01-30,13,Breakdown,80
2025-01-30,15,Breakdown,37
2025-01-31,1,Material,63
2025-01-31,1,Breakdown,58
2025-01-31,3,Breakdown,84
2025-01-31,3,Plannedmaintenance,61
2025-01-31,4,Setup,83
2025-01-31,5,Breakdown,60
2025-01-31,5,Breakdown,21
2025-01-31,8,Plannedmaintenance,24
2025-01-31,8,Breakdown,72
2025-01-31,11,Breakdown,60
2025-01-31,11,Setup,33
2025-01-31,13,Setup,58
2025-01-31,14,Material,89
2025-01-31,14,Material,20
2025-01-31,15,Setup,49
2025-01-31,15,Quality,24
2025-02-01,1,Quality,33
2025-02-01,2,Quality,60
2025-02-01,2,Plannedmaintenance,79
2025-02-01,4,Breakdown,89
2025-02-01,5,Breakdown,39
2025-02-01,5,Breakdown,33
2025-02-01,6,Breakdown,39
2025-02-01,7,Quality,89
2025-02-01,7,Breakdown,83
2025-02-01,8,Setup,63
2025-02-01,10,Material,83
2025-02-01,10,Breakdown,59
2025-02-01,11,Setup,57
2025-02-01,12,Setup,19
2025-02-01,14,Quality,80
2025-02-01,15,Quality,18
2025-02-01,15,Breakdown,27
2025-02-02,1,Setup,29
2025-02-02,2,Quality,31
2025-02-02,2,Breakdown,59
2025-02-02,5,Breakdown,10
2025-02-02,5,Breakdown,64
2025-02-02,6,Setup,40
2025-02-02,6,Breakdown,56
2025-02-02,7,Setup,37
2025-02-02,7,Setup,87
2025-02-02,8,Material,44
2025-02-02,8,Breakdown,12
2025-02-02,10,Setup,42
2025-02-02,15,Quality,24
2025-02-02,15,Breakdown,86
2025-02-03,1,Breakdown,69
2025-02-03,1,Breakdown,43
2025-02-03,2,Setup,28
2025-02-03,2,Breakdown,38
2025-02-03,3,Breakdown,39
2025-02-03,3,Breakdown,54
2025-02-03,4,Setup,45
2025-02-03,5,Breakdown,26
2025-02-03,5,Breakdown,68
2025-02-03,6,Breakdown,85
2025-02-03,6,Breakdown,62
2025-02-03,7,Breakdown,17
2025-02-03,7,Quality,86
2025-02-03,8,Setup,70
2025-02-03,8,Setup,48
2025-02-03,9,Breakdown,62
2025-02-03,12,Material,29
2025-02-03,15,Breakdown,45
2025-02-03,15,Breakdown,58
2025-02-04,1,Breakdown,68
2025-02-04,2,Setup,86
2025-02-04,2,Breakdown,71
2025-02-04,3,Breakdown,28
2025-02-04,3,Setup,16
2025-02-04,4,Quality,89
2025-02-04,4,Quality,24
2025-02-04,5,Breakdown,23
2025-02-04,5,Breakdown,19
2025-02-04,6,Breakdown,66
2025-02-04,7,Quality,25
2025-02-04,7,Breakdown,81
2025-02-04,8,Setup,75
2025-02-04,9,Setup,85
2025-02-04,9,Setup,52
2025-02-04,10,Breakdown,72
2025-02-04,10,Plannedmaintenance,24
2025-02-04,11,Material,43
2025-02-04,11,Material,53
2025-02-04,14,Quality,70
2025-02-04,15,Setup,12
2025-02-04,15,Setup,69
2025-02-05,4,Setup,77
2025-02-05,4,Breakdown,55
2025-02-05,5,Quality,68
2025-02-05,5,Quality,52
2025-02-05,6,Breakdown,13
2025-02-05,6,Setup,79
2025-02-05,7,Material,84
2025-02-05,8,Material,34
2025-02-05,8,Quality,56
2025-02-05,9,Breakdown,19
2025-02-05,10,Breakdown,43
2025-02-05,10,Quality,73
2025-02-05,12,Setup,69
2025-02-05,13,Breakdown,25
2025-02-05,13,Setup,38
2025-02-05,15,Breakdown,63
2025-02-06,2,Setup,29
2025-02-06,2,Breakdown,24
2025-02-06,4,Quality,16
2025-02-06,6,Quality,68
2025-02-06,7,Plannedmaintenance,66
2025-02-06,8,Plannedmaintenance,79
2025-02-06,8,Setup,79
2025-02-06,9,Material,57
2025-02-06,9,Breakdown,73
2025-02-06,10,Plannedmaintenance,65
2025-02-06,10,Setup,33
2025-02-06,14,Quality,31
2025-02-06,15,Plannedmaintenance,75
2025-02-07,3,Material,31
2025-02-07,3,Breakdown,66
2025-02-07,4,Quality,34
2025-02-07,4,Setup,84
2025-02-07,5,Material,53
2025-02-07,6,Setup,35
2025-02-07,7,Plannedmaintenance,80
2025-02-07,8,Breakdown,45
2025-02-07,8,Breakdown,49
2025-02-07,9,Material,30
2025-02-07,9,Breakdown,44
2025-02-07,11,Breakdown,61
2025-02-07,11,Material,52
2025-02-07,12,Breakdown,20
2025-02-07,12,Setup,17
2025-02-07,14,Breakdown,87
2025-02-07,14,Setup,80
2025-02-07,15,Material,64
2025-02-07,15,Setup,25
2025-02-08,1,Material,84
2025-02-08,1,Quality,55
2025-02-08,3,Setup,40
2025-02-08,3,Material,34
2025-02-08,4,Breakdown,39
2025-02-08,4,Plannedmaintenance,56
2025-02-08,6,Breakdown,21
2025-02-08,6,Material,39
2025-02-08,11,Setup,31
2025-02-08,12,Plannedmaintenance,24
2025-02-08,12,Material,52
2025-02-08,14,Breakdown,51
2025-02-08,14,Setup,33
2025-02-09,1,Setup,77
2025-02-09,1,Setup,11
2025-02-09,2,Material,38
2025-02-09,2,Breakdown,47
2025-02-09,3,Quality,16
2025-02-09,5,Setup,79
2025-02-09,5,Breakdown,14
2025-02-09,6,Material,66
2025-02-09,6,Setup,35
2025-02-09,7,Quality,45
2025-02-09,7,Breakdown,27
2025-02-09,8,Breakdown,26
2025-02-09,9,Setup,32
2025-02-09,10,Breakdown,39
2025-02-09,10,Setup,75
2025-02-09,12,Quality,33
2025-02-09,12,Breakdown,50
2025-02-09,14,Breakdown,34
2025-02-09,14,Material,79
2025-02-09,15,Breakdown,76
2025-02-10,1,Setup,85
2025-02-10,2,Breakdown,48
2025-02-10,2,Setup,35
2025-02-10,4,Setup,58
2025-02-10,6,Setup,34
2025-02-10,6,Setup,89
2025-02-10,7,Material,77
2025-02-10,7,Breakdown,40
2025-02-10,8,Breakdown,45
2025-02-10,9,Setup,56
2025-02-10,9,Breakdown,68
2025-02-10,10,Breakdown,81
2025-02-10,11,Breakdown,53
2025-02-10,11,Setup,16
2025-02-10,12,Plannedmaintenance,50
2025-02-10,13,Breakdown,80
2025-02-10,13,Setup,78
2025-02-10,14,Breakdown,67
2025-02-10,14,Breakdown,30
2025-02-10,15,Breakdown,86
2025-02-11,1,Breakdown,79
2025-02-11,1,Quality,17
2025-02-11,3,Quality,84
2025-02-11,3,Breakdown,35
2025-02-11,4,Plannedmaintenance,48
2025-02-11,5,Breakdown,51
2025-02-11,5,Breakdown,56
2025-02-11,6,Plannedmaintenance,80
2025-02-11,7,Setup,28
2025-02-11,8,Plannedmaintenance,17
2025-02-11,8,Material,55
2025-02-11,9,Setup,12
2025-02-11,9,Plannedmaintenance,81
2025-02-11,10,Material,10
2025-02-11,11,Breakdown,34
2025-02-11,11,Breakdown,70
2025-02-11,12,Plannedmaintenance,37
2025-02-11,13,Setup,33
2025-02-11,14,Plannedmaintenance,60
2025-02-12,1,Quality,25
2025-02-12,2,Setup,40
2025-02-12,3,Breakdown,65
2025-02-12,3,Setup,13
2025-02-12,4,Material,56
2025-02-12,4,Setup,52
2025-02-12,5,Breakdown,70
2025-02-12,7,Quality,79
2025-02-12,7,Setup,32
2025-02-12,9,Breakdown,74
2025-02-12,10,Breakdown,21
2025-02-12,10,Quality,50
2025-02-12,12,Plannedmaintenance,68
2025-02-12,13,Breakdown,59
2025-02-12,13,Material,38
2025-02-12,14,Breakdown,26
2025-02-12,15,Breakdown,87
2025-02-12,15,Breakdown,83
2025-02-13,1,Plannedmaintenance,64
2025-02-13,2,Material,80
2025-02-13,2,Quality,40
2025-02-13,3,Quality,70
2025-02-13,3,Breakdown,37
2025-02-13,5,Setup,89
2025-02-13,6,Quality,67
2025-02-13,6,Setup,28
2025-02-13,7,Setup,57
2025-02-13,7,Material,68
2025-02-13,8,Breakdown,75
2025-02-13,9,Breakdown,45
2025-02-13,10,Setup,86
2025-02-13,11,Setup,71
2025-02-13,12,Breakdown,88
2025-02-13,12,Setup,69
2025-02-13,13,Breakdown,27
2025-02-14,1,Material,69
2025-02-14,3,Breakdown,80
2025-02-14,4,Plannedmaintenance,14
2025-02-14,5,Material,81
2025-02-14,5,Material,89
2025-02-14,6,Breakdown,33
2025-02-14,6,Material,20
2025-02-14,7,Breakdown,45
2025-02-14,8,Breakdown,57
2025-02-14,8,Material,28
2025-02-14,9,Setup,66
2025-02-14,9,Setup,71
2025-02-14,10,Breakdown,56
2025-02-14,10,Plannedmaintenance,13
2025-02-14,11,Quality,69
2025-02-14,11,Quality,32
2025-02-14,14,Setup,64
2025-02-14,15,Breakdown,74
2025-02-14,15,Setup,71
2025-02-15,2,Material,16
2025-02-15,2,Plannedmaintenance,12
2025-02-15,3,Quality,29
2025-02-15,3,Material,85
2025-02-15,5,Breakdown,61
2025-02-15,5,Material,49
2025-02-15,6,Breakdown,42
2025-02-15,7,Setup,39
2025-02-15,8,Setup,49
2025-02-15,9,Material,16
2025-02-15,9,Material,58
2025-02-15,11,Material,54
2025-02-15,11,Quality,10
2025-02-15,12,Breakdown,28
2025-02-15,12,Plannedmaintenance,77
2025-02-15,13,Material,13
2025-02-15,13,Setup,52
2025-02-15,15,Setup,36
2025-02-16,4,Material,17
2025-02-16,4,Quality,34
2025-02-16,9,Setup,70
2025-02-16,9,Quality,28
2025-02-16,10,Breakdown,57
2025-02-16,11,Quality,72
2025-02-16,12,Breakdown,77
2025-02-16,13,Breakdown,12
2025-02-16,13,Breakdown,38
2025-02-16,14,Quality,63
2025-02-16,15,Setup,48
2025-02-16,15,Plannedmaintenance,70
2025-02-17,2,Plannedmaintenance,49
2025-02-17,3,Quality,61
2025-02-17,4,Breakdown,52
2025-02-17,4,Breakdown,86
2025-02-17,5,Breakdown,56
2025-02-17,7,Breakdown,51
2025-02-17,8,Breakdown,79
2025-02-17,8,Breakdown,74
2025-02-17,10,Setup,38
2025-02-17,10,Breakdown,38
2025-02-17,11,Breakdown,40
2025-02-17,13,Material,51
2025-02-17,14,Breakdown,22
2025-02-17,15,Breakdown,37
2025-02-17,15,Quality,56
2025-02-18,1,Breakdown,69
2025-02-18,3,Quality,27
2025-02-18,3,Quality,44
2025-02-18,4,Quality,72
2025-02-18,4,Breakdown,54
2025-02-18,5,Breakdown,76
2025-02-18,5,Breakdown,82
2025-02-18,6,Plannedmaintenance,76
2025-02-18,6,Plannedmaintenance,43
2025-02-18,8,Breakdown,37
2025-02-18,11,Breakdown,79
2025-02-18,12,Breakdown,37
2025-02-18,12,Setup,82
2025-02-18,13,Breakdown,80
2025-02-18,13,Breakdown,67
2025-02-19,3,Breakdown,58
2025-02-19,3,Setup,32
2025-02-19,4,Breakdown,81
2025-02-19,4,Breakdown,33
2025-02-19,5,Setup,81
2025-02-19,6,Breakdown,19
2025-02-19,6,Material,25
2025-02-19,8,Breakdown,65
2025-02-19,9,Plannedmaintenance,70
2025-02-19,9,Quality,43
2025-02-19,13,Breakdown,73
2025-02-19,14,Breakdown,53
2025-02-19,15,Setup,60
2025-02-20,1,Breakdown,16
2025-02-20,1,Setup,47
2025-02-20,2,Setup,54
2025-02-20,3,Breakdown,74
2025-02-20,4,Setup,10
2025-02-20,4,Breakdown,70
2025-02-20,5,Breakdown,65
2025-02-20,5,Material,84
2025-02-20,6,Plannedmaintenance,74
2025-02-20,7,Quality,20
2025-02-20,14,Breakdown,11
2025-02-20,15,Quality,49
2025-02-20,15,Plannedmaintenance,20
2025-02-21,2,Breakdown,30
2025-02-21,2,Breakdown,20
2025-02-21,3,Quality,40
2025-02-21,4,Setup,78
2025-02-21,5,Plannedmaintenance,67
2025-02-21,6,Breakdown,85
2025-02-21,6,Quality,11
2025-02-21,8,Setup,76
2025-02-21,8,Material,18
2025-02-21,10,Setup,59
2025-02-21,10,Breakdown,28
2025-02-21,11,Quality,27
2025-02-21,11,Setup,63
2025-02-21,12,Breakdown,44
2025-02-21,14,Quality,59
2025-02-21,15,Breakdown,31
2025-02-21,15,Breakdown,50
2025-02-22,2,Breakdown,74
2025-02-22,2,Breakdown,10
2025-02-22,3,Breakdown,21
2025-02-22,3,Setup,73
2025-02-22,5,Breakdown,57
2025-02-22,6,Plannedmaintenance,53
2025-02-22,6,Breakdown,34
2025-02-22,7,Breakdown,44
2025-02-22,8,Setup,74
2025-02-22,8,Breakdown,10
2025-02-22,9,Breakdown,29
2025-02-22,10,Quality,56
2025-02-22,10,Breakdown,59
2025-02-22,12,Breakdown,75
2025-02-22,14,Setup,30
2025-02-22,14,Quality,47
2025-02-22,15,Breakdown,14
2025-02-22,15,Breakdown,76
2025-02-23,1,Material,82
2025-02-23,2,Material,47
2025-02-23,3,Breakdown,26
2025-02-23,4,Breakdown,76
2025-02-23,7,Setup,57
2025-02-23,8,Breakdown,11
2025-02-23,9,Breakdown,14
2025-02-23,9,Material,32
2025-02-23,10,Breakdown,16
2025-02-23,12,Material,34
2025-02-23,13,Breakdown,70
