prod_date,machine_id,shift_id,sku,units_good,units_scrap,units_total
2025-01-08,15,3,SKU037,546,75,621
2025-01-09,1,1,SKU011,715,65,780
2025-01-09,1,2,SKU031,292,9,301
2025-01-09,1,3,SKU029,535,77,612
2025-01-09,2,1,SKU030,352,40,392
2025-01-09,2,3,SKU009,470,42,512
2025-01-09,3,3,SKU033,512,67,579
2025-01-09,4,1,SKU025,371,18,389
2025-01-09,4,2,SKU038,202,11,213
2025-01-09,4,3,SKU002,289,3,292
2025-01-09,5,1,SKU034,399,32,431
2025-01-09,5,2,SKU003,333,45,378
2025-01-09,5,3,SKU037,322,28,350
2025-01-09,6,1,SKU029,556,20,576
2025-01-09,7,1,SKU038,255,33,288
2025-01-09,7,2,SKU013,702,23,725
2025-01-09,7,3,SKU005,275,27,302
2025-01-09,8,1,SKU026,357,8,365
2025-01-09,8,3,SKU021,399,10,409
2025-01-09,9,1,SKU004,511,51,562
2025-01-09,9,2,SKU027,570,2,572
2025-01-09,9,3,SKU005,338,29,367
2025-01-09,10,2,SKU037,584,52,636
2025-01-09,10,3,SKU021,273,35,308
2025-01-09,11,1,SKU006,277,15,292
2025-01-09,11,2,SKU028,775,91,866
2025-01-09,11,3,SKU026,306,30,336
2025-01-09,12,3,SKU002,752,97,849
2025-01-09,13,1,SKU037,386,20,406
2025-01-09,13,2,SKU021,630,41,671
2025-01-09,13,3,SKU010,627,65,692
2025-01-09,14,3,SKU021,678,28,706
2025-01-09,15,2,SKU005,257,7,264
2025-01-10,1,1,SKU002,637,5,642
2025-01-10,1,2,SKU005,502,49,551
2025-01-10,2,2,SKU018,589,13,602
2025-01-10,2,3,SKU028,700,93,793
2025-01-10,3,1,SKU025,724,62,786
2025-01-10,3,2,SKU017,690,42,732
2025-01-10,3,3,SKU001,794,23,817
2025-01-10,4,1,SKU020,785,46,831
2025-01-10,4,2,SKU022,435,27,462
2025-01-10,4,3,SKU014,234,18,252
2025-01-10,5,1,SKU011,661,53,714
2025-01-10,5,2,SKU036,502,74,576
2025-01-10,5,3,SKU012,755,19,774
2025-01-10,6,3,SKU030,479,46,525
2025-01-10,7,1,SKU035,547,65,612
2025-01-10,7,2,SKU031,631,59,690
2025-01-10,7,3,SKU014,328,45,373
2025-01-10,8,1,SKU011,684,70,754
2025-01-10,8,2,SKU022,765,39,804
2025-01-10,8,3,SKU022,355,22,377
2025-01-10,9,1,SKU025,547,54,601
2025-01-10,10,2,SKU033,306,7,313
2025-01-10,10,3,SKU039,578,74,652
2025-01-10,11,2,SKU016,512,46,558
2025-01-10,11,3,SKU009,772,33,805
2025-01-10,12,1,SKU014,276,4,280
2025-01-10,12,3,SKU033,755,1,756
2025-01-10,13,1,SKU030,280,40,320
2025-01-10,13,2,SKU008,350,21,371
2025-01-10,13,3,SKU028,323,46,369
2025-01-10,14,1,SKU027,665,39,704
2025-01-10,14,2,SKU029,742,105,847
2025-01-10,14,3,SKU010,446,20,466
2025-01-10,15,2,SKU031,503,23,526
2025-01-10,15,3,SKU036,687,9,696
2025-01-11,1,1,SKU001,794,33,827
2025-01-11,1,2,SKU002,450,64,514
2025-01-11,1,3,SKU028,296,14,310
2025-01-11,2,1,SKU009,524,36,560
2025-01-11,2,2,SKU005,390,32,422
2025-01-11,2,3,SKU005,517,61,578
2025-01-11,3,1,SKU019,282,7,289
2025-01-11,3,2,SKU022,393,24,417
2025-01-11,4,1,SKU033,506,55,561
2025-01-11,4,2,SKU005,326,36,362
2025-01-11,4,3,SKU034,354,42,396
2025-01-11,5,1,SKU040,662,41,703
2025-01-11,5,2,SKU036,667,53,720
2025-01-11,5,3,SKU008,542,58,600
2025-01-11,6,1,SKU016,723,70,793
2025-01-11,6,2,SKU019,761,32,793
2025-01-11,7,1,SKU032,617,82,699
2025-01-11,8,1,SKU017,256,37,293
2025-01-11,8,2,SKU017,244,32,276
2025-01-11,8,3,SKU020,269,21,290
2025-01-11,9,1,SKU022,420,41,461
2025-01-11,9,2,SKU013,305,37,342
2025-01-11,10,1,SKU028,541,35,576
2025-01-11,10,2,SKU001,241,34,275
2025-01-11,10,3,SKU018,721,80,801
2025-01-11,11,1,SKU027,357,41,398
2025-01-11,11,2,SKU013,736,107,843
2025-01-11,11,3,SKU004,414,46,460
2025-01-11,12,1,SKU009,288,32,320
2025-01-11,12,2,SKU021,607,49,656
2025-01-11,12,3,SKU005,714,63,777
2025-01-11,13,1,SKU003,342,50,392
2025-01-11,13,2,SKU002,661,76,737
2025-01-11,14,1,SKU004,526,69,595
2025-01-11,14,2,SKU004,721,48,769
2025-01-11,14,3,SKU003,733,21,754
2025-01-11,15,1,SKU036,394,38,432
2025-01-11,15,2,SKU024,323,44,367
2025-01-11,15,3,SKU020,316,21,337
2025-01-12,1,1,SKU015,372,30,402
2025-01-12,1,2,SKU037,656,5,661
2025-01-12,1,3,SKU027,644,8,652
2025-01-12,2,1,SKU017,728,89,817
2025-01-12,2,2,SKU024,313,20,333
2025-01-12,2,3,SKU021,549,32,581
2025-01-12,3,2,SKU024,466,28,494
2025-01-12,3,3,SKU036,731,18,749
2025-01-12,4,1,SKU029,612,74,686
2025-01-12,4,2,SKU002,778,61,839
2025-01-12,4,3,SKU012,369,45,414
2025-01-12,5,1,SKU014,708,10,718
2025-01-12,5,2,SKU025,701,9,710
2025-01-12,5,3,SKU013,239,16,255
2025-01-12,6,2,SKU039,292,5,297
2025-01-12,7,1,SKU019,274,20,294
2025-01-12,7,2,SKU020,718,43,761
2025-01-12,7,3,SKU025,749,61,810
2025-01-12,8,1,SKU033,585,41,626
2025-01-12,8,2,SKU032,793,114,907
2025-01-12,8,3,SKU004,424,57,481
2025-01-12,9,1,SKU034,357,49,406
2025-01-12,9,2,SKU023,275,38,313
2025-01-12,9,3,SKU004,324,35,359
2025-01-12,10,1,SKU004,220,9,229
2025-01-12,11,2,SKU027,200,7,207
2025-01-12,12,1,SKU016,526,4,530
2025-01-12,12,2,SKU029,750,70,820
2025-01-12,12,3,SKU039,571,73,644
2025-01-12,13,1,SKU039,415,61,476
2025-01-12,13,2,SKU004,571,11,582
2025-01-12,13,3,SKU032,797,24,821
2025-01-12,14,1,SKU023,705,99,804
2025-01-12,14,2,SKU016,799,94,893
2025-01-12,14,3,SKU037,694,34,728
2025-01-12,15,1,SKU003,749,33,782
2025-01-12,15,2,SKU008,656,87,743
2025-01-12,15,3,SKU015,603,63,666
2025-01-13,1,1,SKU030,767,10,777
2025-01-13,1,2,SKU016,230,5,235
2025-01-13,1,3,SKU021,716,70,786
2025-01-13,2,1,SKU028,227,18,245
2025-01-13,2,3,SKU010,791,62,853
2025-01-13,3,1,SKU036,763,87,850
2025-01-13,3,2,SKU007,435,35,470
2025-01-13,3,3,SKU010,762,49,811
2025-01-13,4,1,SKU030,714,8,722
2025-01-13,4,2,SKU031,783,49,832
2025-01-13,4,3,SKU001,269,7,276
2025-01-13,5,1,SKU018,513,46,559
2025-01-13,5,3,SKU025,599,34,633
2025-01-13,6,1,SKU020,480,43,523
2025-01-13,6,2,SKU017,256,18,274
2025-01-13,6,3,SKU013,345,47,392
2025-01-13,7,1,SKU006,538,23,561
2025-01-13,7,2,SKU018,708,12,720
2025-01-13,7,3,SKU014,302,40,342
2025-01-13,8,1,SKU008,532,46,578
2025-01-13,8,2,SKU018,671,95,766
2025-01-13,8,3,SKU001,779,93,872
2025-01-13,9,1,SKU027,265,24,289
2025-01-13,9,3,SKU032,624,23,647
2025-01-13,10,1,SKU011,366,36,402
2025-01-13,10,2,SKU029,236,32,268
2025-01-13,10,3,SKU032,399,39,438
2025-01-13,11,1,SKU001,594,52,646
2025-01-13,11,2,SKU004,678,58,736
2025-01-13,11,3,SKU009,468,33,501
2025-01-13,12,1,SKU010,265,18,283
2025-01-13,12,2,SKU016,418,15,433
2025-01-13,12,3,SKU004,635,59,694
2025-01-13,13,3,SKU003,663,36,699
2025-01-13,14,1,SKU011,468,26,494
2025-01-13,14,2,SKU016,492,23,515
2025-01-13,14,3,SKU022,205,19,224
2025-01-13,15,1,SKU039,430,7,437
2025-01-13,15,2,SKU028,569,51,620
2025-01-13,15,3,SKU016,537,50,587
2025-01-14,1,1,SKU001,704,23,727
2025-01-14,1,2,SKU011,244,33,277
2025-01-14,2,1,SKU027,200,3,203
2025-01-14,2,2,SKU027,276,10,286
2025-01-14,2,3,SKU036,347,18,365
2025-01-14,3,1,SKU005,270,8,278
2025-01-14,3,2,SKU013,412,43,455
2025-01-14,4,1,SKU031,674,66,740
2025-01-14,4,2,SKU006,421,27,448
2025-01-14,4,3,SKU020,693,37,730
2025-01-14,5,1,SKU030,755,33,788
2025-01-14,5,2,SKU001,795,24,819
2025-01-14,6,2,SKU025,766,73,839
2025-01-14,6,3,SKU027,422,47,469
2025-01-14,7,2,SKU025,370,21,391
2025-01-14,7,3,SKU008,618,38,656
2025-01-14,8,1,SKU018,266,9,275
2025-01-14,8,2,SKU018,603,20,623
2025-01-14,8,3,SKU019,322,19,341
2025-01-14,9,1,SKU031,313,26,339
2025-01-14,9,2,SKU004,619,21,640
2025-01-14,9,3,SKU024,690,9,699
2025-01-14,10,1,SKU038,261,25,286
2025-01-14,10,2,SKU037,693,85,778
2025-01-14,10,3,SKU030,476,49,525
2025-01-14,11,1,SKU021,378,37,415
2025-01-14,11,2,SKU027,599,30,629
2025-01-14,11,3,SKU034,293,16,309
2025-01-14,12,1,SKU020,796,50,846
2025-01-14,12,3,SKU015,608,54,662
2025-01-14,13,1,SKU040,283,21,304
2025-01-14,13,2,SKU001,435,2,437
2025-01-14,13,3,SKU039,667,75,742
2025-01-14,14,2,SKU030,678,58,736
2025-01-14,14,3,SKU018,442,33,475
2025-01-14,15,1,SKU018,384,8,392
2025-01-14,15,3,SKU013,437,14,451
2025-01-15,1,2,SKU001,779,96,875
2025-01-15,1,3,SKU035,660,42,702
2025-01-15,2,1,SKU018,263,30,293
2025-01-15,2,2,SKU005,796,48,844
2025-01-15,3,1,SKU026,794,3,797
2025-01-15,3,2,SKU029,743,61,804
2025-01-15,3,3,SKU028,223,32,255
2025-01-15,4,1,SKU038,618,17,635
2025-01-15,4,2,SKU030,591,25,616
2025-01-15,4,3,SKU019,231,24,255
2025-01-15,5,1,SKU018,668,67,735
2025-01-15,5,2,SKU020,203,13,216
2025-01-15,5,3,SKU005,794,72,866
2025-01-15,6,1,SKU032,461,34,495
2025-01-15,6,2,SKU009,261,19,280
2025-01-15,6,3,SKU008,461,66,527
2025-01-15,7,1,SKU028,711,5,716
2025-01-15,7,2,SKU028,743,43,786
2025-01-15,7,3,SKU005,376,8,384
2025-01-15,8,1,SKU017,521,5,526
2025-01-15,8,2,SKU014,487,39,526
2025-01-15,8,3,SKU028,385,41,426
2025-01-15,9,1,SKU005,308,15,323
2025-01-15,9,2,SKU013,732,82,814
2025-01-15,10,1,SKU035,219,5,224
2025-01-15,10,2,SKU012,279,37,316
2025-01-15,10,3,SKU017,409,52,461
2025-01-15,11,1,SKU015,415,53,468
2025-01-15,11,2,SKU036,314,41,355
2025-01-15,11,3,SKU001,569,72,641
2025-01-15,12,1,SKU026,794,112,906
2025-01-15,12,2,SKU003,280,33,313
2025-01-15,12,3,SKU021,240,31,271
2025-01-15,13,1,SKU017,382,39,421
2025-01-15,13,2,SKU004,312,39,351
2025-01-15,13,3,SKU039,307,32,339
2025-01-15,14,1,SKU011,248,35,283
2025-01-15,14,2,SKU010,609,17,626
2025-01-15,14,3,SKU020,448,34,482
2025-01-15,15,1,SKU013,582,71,653
2025-01-15,15,2,SKU008,262,24,286
2025-01-15,15,3,SKU033,486,31,517
2025-01-16,1,1,SKU025,525,68,593
2025-01-16,1,3,SKU009,588,28,616
2025-01-16,2,1,SKU006,732,86,818
2025-01-16,2,2,SKU012,345,43,388
2025-01-16,2,3,SKU025,717,86,803
2025-01-16,3,1,SKU020,219,14,233
2025-01-16,3,2,SKU025,488,42,530
2025-01-16,3,3,SKU014,642,79,721
2025-01-16,4,1,SKU022,298,27,325
2025-01-16,4,2,SKU016,537,76,613
2025-01-16,5,2,SKU002,606,79,685
2025-01-16,5,3,SKU011,240,0,240
2025-01-16,6,1,SKU017,365,12,377
2025-01-16,6,2,SKU004,469,22,491
2025-01-16,6,3,SKU001,203,8,211
2025-01-16,7,3,SKU010,429,35,464
2025-01-16,8,1,SKU005,725,78,803
2025-01-16,8,2,SKU031,710,17,727
2025-01-16,8,3,SKU027,427,27,454
2025-01-16,9,1,SKU014,663,40,703
2025-01-16,9,2,SKU005,372,25,397
2025-01-16,9,3,SKU016,639,35,674
2025-01-16,10,1,SKU030,498,53,551
2025-01-16,10,2,SKU008,673,51,724
2025-01-16,10,3,SKU009,628,35,663
2025-01-16,11,1,SKU031,708,85,793
2025-01-16,11,2,SKU031,632,82,714
2025-01-16,11,3,SKU007,414,15,429
2025-01-16,12,1,SKU024,272,15,287
2025-01-16,12,2,SKU016,418,40,458
2025-01-16,12,3,SKU035,665,33,698
2025-01-16,13,1,SKU006,275,34,309
2025-01-16,13,2,SKU032,316,46,362
2025-01-16,13,3,SKU011,411,10,421
2025-01-16,14,1,SKU040,406,18,424
2025-01-16,14,2,SKU027,781,80,861
2025-01-16,14,3,SKU023,624,33,657
2025-01-16,15,1,SKU030,472,4,476
2025-01-16,15,3,SKU031,363,19,382
2025-01-17,1,1,SKU018,363,27,390
2025-01-17,1,2,SKU008,358,28,386
2025-01-17,1,3,SKU015,616,40,656
2025-01-17,2,1,SKU017,471,20,491
2025-01-17,2,2,SKU009,786,114,900
2025-01-17,2,3,SKU012,522,52,574
2025-01-17,3,1,SKU015,731,98,829
2025-01-17,3,3,SKU007,450,46,496
2025-01-17,4,1,SKU015,755,74,829
2025-01-17,4,2,SKU017,655,68,723
2025-01-17,4,3,SKU028,619,21,640
2025-01-17,5,1,SKU038,621,27,648
2025-01-17,5,2,SKU016,535,67,602
2025-01-17,5,3,SKU036,361,44,405
2025-01-17,6,2,SKU012,510,3,513
2025-01-17,6,3,SKU002,589,16,605
2025-01-17,7,1,SKU007,798,23,821
2025-01-17,7,2,SKU033,297,21,318
2025-01-17,7,3,SKU036,200,21,221
2025-01-17,8,1,SKU027,352,11,363
2025-01-17,8,2,SKU004,383,28,411
2025-01-17,8,3,SKU010,668,71,739
2025-01-17,9,1,SKU019,416,30,446
2025-01-17,9,2,SKU003,443,46,489
2025-01-17,9,3,SKU007,743,29,772
2025-01-17,10,1,SKU003,669,11,680
2025-01-17,10,2,SKU005,562,44,606
