date_sk,machine_sk,shift_sk,product_sk,units_good,units_scrap,units_total,ideal_rate_per_min,planned_minutes
3,4,2,5,706,14,720,1.0,480
3,4,3,28,698,54,752,1.5,480
3,5,1,16,597,48,645,1.2,480
3,5,2,29,348,10,358,0.8,480
3,5,3,14,556,6,562,1.0,480
3,6,1,31,547,71,618,1.2,480
3,6,2,12,319,35,354,1.5,480
3,6,3,21,279,34,313,1.5,480
3,7,1,6,642,87,729,1.5,480
3,7,2,34,383,42,425,1.0,480
3,7,3,34,713,19,732,1.0,480
3,8,1,8,730,94,824,1.0,480
3,8,2,16,471,6,477,1.2,480
3,8,3,3,665,52,717,1.5,480
3,9,1,34,400,22,422,1.0,480
3,9,2,10,511,71,582,1.2,480
3,9,3,31,368,14,382,1.2,480
3,10,1,9,648,61,709,1.0,480
3,10,2,36,733,20,753,0.8,480
3,10,3,19,586,11,597,1.5,480
3,11,3,29,252,28,280,0.8,480
3,12,1,13,584,17,601,1.0,480
3,12,2,8,554,62,616,1.0,480
3,12,3,9,466,10,476,1.0,480
3,13,1,16,485,2,487,1.2,480
3,13,2,18,525,8,533,1.2,480
3,13,3,16,212,22,234,1.2,480
3,14,1,2,698,26,724,0.8,480
3,14,2,37,676,13,689,1.2,480
3,14,3,38,795,15,810,1.5,480
3,15,1,6,747,92,839,1.5,480
3,15,3,18,255,25,280,1.2,480
4,1,1,40,307,8,315,1.5,480
4,1,2,39,467,64,531,1.0,480
4,1,3,31,472,64,536,1.2,480
4,2,1,34,661,14,675,1.0,480
4,2,2,3,292,1,293,1.5,480
4,2,3,16,387,25,412,1.2,480
4,3,1,29,637,5,642,0.8,480
4,4,2,3,436,48,484,1.5,480
4,4,3,10,454,2,456,1.2,480
4,5,1,34,273,6,279,1.0,480
4,5,3,8,765,20,785,1.0,480
4,6,1,35,359,13,372,0.8,480
4,6,2,22,694,53,747,1.2,480
4,6,3,20,521,77,598,1.5,480
4,7,1,16,309,40,349,1.2,480
4,7,2,11,281,14,295,1.0,480
4,8,2,5,606,87,693,1.0,480
4,8,3,30,503,33,536,1.5,480
4,9,2,20,657,30,687,1.5,480
4,9,3,40,239,17,256,1.5,480
4,10,1,10,713,93,806,1.2,480
4,10,2,32,697,102,799,0.8,480
4,10,3,31,377,47,424,1.2,480
4,11,1,39,641,32,673,1.0,480
4,11,2,13,248,27,275,1.0,480
4,11,3,16,751,93,844,1.2,480
4,12,1,24,706,98,804,1.0,480
4,12,2,12,508,21,529,1.5,480
4,13,1,4,463,55,518,0.8,480
4,13,2,24,681,47,728,1.0,480
4,13,3,29,691,97,788,0.8,480
4,14,1,10,449,0,449,1.2,480
4,14,2,28,631,31,662,1.5,480
4,14,3,17,325,2,327,1.2,480
4,15,1,23,277,2,279,1.2,480
4,15,2,32,209,20,229,0.8,480
4,15,3,39,485,29,514,1.0,480
5,1,1,22,513,70,583,1.2,480
5,1,2,30,771,64,835,1.5,480
5,1,3,2,759,71,830,0.8,480
5,2,1,2,271,25,296,0.8,480
5,2,2,31,244,28,272,1.2,480
5,2,3,24,206,5,211,1.0,480
5,3,2,30,472,58,530,1.5,480
5,3,3,31,265,21,286,1.2,480
5,4,1,7,479,58,537,1.0,480
5,4,2,25,420,42,462,1.5,480
5,4,3,17,443,6,449,1.2,480
5,5,1,23,300,33,333,1.2,480
5,5,2,17,479,5,484,1.2,480
5,5,3,31,237,11,248,1.2,480
5,6,1,33,428,24,452,0.8,480
5,6,2,34,777,51,828,1.0,480
5,6,3,36,220,23,243,0.8,480
5,7,2,16,496,41,537,1.2,480
5,7,3,31,606,22,628,1.2,480
5,8,1,24,267,7,274,1.0,480
5,8,2,26,375,13,388,1.0,480
5,9,1,18,393,25,418,1.2,480
5,9,2,10,548,63,611,1.2,480
5,10,1,38,401,16,417,1.5,480
5,10,3,38,611,11,622,1.5,480
5,11,2,3,524,38,562,1.5,480
5,11,3,40,452,18,470,1.5,480
5,12,1,34,295,20,315,1.0,480
5,12,2,28,474,58,532,1.5,480
5,12,3,15,380,11,391,1.2,480
5,13,1,21,623,74,697,1.5,480
5,13,2,31,308,33,341,1.2,480
5,13,3,20,467,17,484,1.5,480
5,14,1,3,547,20,567,1.5,480
5,14,2,16,425,17,442,1.2,480
5,14,3,26,374,26,400,1.0,480
5,15,1,36,578,14,592,0.8,480
5,15,3,9,715,32,747,1.0,480
6,1,1,16,240,23,263,1.2,480
6,1,2,17,430,45,475,1.2,480
6,1,3,7,282,1,283,1.0,480
6,2,1,13,426,30,456,1.0,480
6,2,3,24,572,68,640,1.0,480
6,3,1,31,232,11,243,1.2,480
6,3,2,37,462,5,467,1.2,480
6,3,3,20,430,28,458,1.5,480
6,4,1,20,281,34,315,1.5,480
6,4,2,6,766,32,798,1.5,480
6,5,1,1,310,18,328,1.5,480
6,5,2,7,708,1,709,1.0,480
6,5,3,7,297,1,298,1.0,480
6,6,1,11,505,13,518,1.0,480
6,6,2,6,443,54,497,1.5,480
6,6,3,17,602,14,616,1.2,480
6,7,3,14,229,0,229,1.0,480
6,8,1,27,414,47,461,0.8,480
6,8,2,5,772,5,777,1.0,480
6,8,3,36,365,17,382,0.8,480
6,9,1,35,698,70,768,0.8,480
6,9,3,37,657,65,722,1.2,480
6,10,1,16,542,16,558,1.2,480
6,10,2,39,660,33,693,1.0,480
6,10,3,11,211,12,223,1.0,480
6,11,1,29,559,34,593,0.8,480
6,11,3,4,402,31,433,0.8,480
6,12,1,4,532,14,546,0.8,480
6,12,2,39,468,38,506,1.0,480
6,12,3,38,454,61,515,1.5,480
6,13,1,16,712,19,731,1.2,480
6,13,2,17,254,29,283,1.2,480
6,13,3,4,285,2,287,0.8,480
6,14,1,32,676,21,697,0.8,480
6,14,2,31,763,86,849,1.2,480
6,14,3,11,453,8,461,1.0,480
6,15,1,21,270,36,306,1.5,480
6,15,2,21,543,44,587,1.5,480
6,15,3,21,250,7,257,1.5,480
7,1,1,11,692,62,754,1.0,480
7,1,2,24,577,31,608,1.0,480
7,2,1,19,630,71,701,1.5,480
7,2,2,9,644,16,660,1.0,480
7,2,3,16,300,31,331,1.2,480
7,3,1,5,215,10,225,1.0,480
7,3,2,39,337,10,347,1.0,480
7,3,3,20,367,47,414,1.5,480
7,4,2,19,429,18,447,1.5,480
7,4,3,21,246,30,276,1.5,480
7,5,1,9,311,7,318,1.0,480
7,5,2,32,479,32,511,0.8,480
7,5,3,9,734,101,835,1.0,480
7,6,1,4,543,44,587,0.8,480
7,6,2,21,436,8,444,1.5,480
7,7,1,33,682,35,717,0.8,480
7,7,2,3,469,60,529,1.5,480
7,8,1,20,513,17,530,1.5,480
7,8,2,15,654,7,661,1.2,480
7,8,3,12,687,44,731,1.5,480
7,9,1,19,650,93,743,1.5,480
7,9,2,17,225,24,249,1.2,480
7,9,3,16,306,3,309,1.2,480
7,10,1,10,772,65,837,1.2,480
7,10,2,24,669,32,701,1.0,480
7,10,3,28,651,74,725,1.5,480
7,11,1,24,781,64,845,1.0,480
7,11,2,19,549,63,612,1.5,480
7,11,3,20,520,48,568,1.5,480
7,12,1,24,281,34,315,1.0,480
7,12,2,22,389,23,412,1.2,480
7,12,3,31,423,43,466,1.2,480
7,13,1,22,304,25,329,1.2,480
7,13,2,34,690,69,759,1.0,480
7,13,3,37,430,15,445,1.2,480
7,14,1,25,709,19,728,1.5,480
7,14,2,37,520,25,545,1.2,480
7,14,3,20,481,35,516,1.5,480
7,15,1,37,671,17,688,1.2,480
7,15,2,40,514,45,559,1.5,480
7,15,3,30,617,12,629,1.5,480
8,1,1,24,789,89,878,1.0,480
8,1,2,31,464,55,519,1.2,480
8,1,3,36,668,25,693,0.8,480
8,2,2,1,489,33,522,1.5,480
8,2,3,10,504,36,540,1.2,480
8,3,1,7,317,13,330,1.0,480
8,3,2,35,329,46,375,0.8,480
8,3,3,6,335,17,352,1.5,480
8,4,1,30,368,20,388,1.5,480
8,4,2,2,684,77,761,0.8,480
8,4,3,9,442,28,470,1.0,480
8,5,1,31,329,43,372,1.2,480
8,5,3,3,641,47,688,1.5,480
8,6,1,11,782,51,833,1.0,480
8,6,2,32,761,77,838,0.8,480
8,6,3,6,694,49,743,1.5,480
8,7,1,14,783,22,805,1.0,480
8,7,2,28,295,39,334,1.5,480
8,7,3,29,255,31,286,0.8,480
8,8,2,14,433,58,491,1.0,480
8,8,3,35,240,17,257,0.8,480
8,9,1,23,702,59,761,1.2,480
8,9,2,34,607,56,663,1.0,480
8,9,3,40,751,91,842,1.5,480
8,10,1,27,669,70,739,0.8,480
8,10,3,36,329,22,351,0.8,480
8,11,3,17,764,75,839,1.2,480
8,12,1,17,330,37,367,1.2,480
8,12,2,17,468,14,482,1.2,480
8,12,3,16,641,13,654,1.2,480
8,13,1,34,652,4,656,1.0,480
8,13,2,23,424,50,474,1.2,480
8,13,3,21,340,25,365,1.5,480
8,14,1,12,513,57,570,1.5,480
8,14,2,20,393,18,411,1.5,480
8,14,3,26,353,5,358,1.0,480
8,15,1,7,653,29,682,1.0,480
8,15,2,12,595,3,598,1.5,480
8,15,3,37,546,75,621,1.2,480
9,1,1,11,715,65,780,1.0,480
9,1,2,31,292,9,301,1.2,480
9,1,3,29,535,77,612,0.8,480
9,2,1,30,352,40,392,1.5,480
9,2,3,9,470,42,512,1.0,480
9,3,3,33,512,67,579,0.8,480
9,4,1,25,371,18,389,1.5,480
9,4,2,38,202,11,213,1.5,480
9,4,3,2,289,3,292,0.8,480
9,5,1,34,399,32,431,1.0,480
9,5,2,3,333,45,378,1.5,480
9,5,3,37,322,28,350,1.2,480
9,6,1,29,556,20,576,0.8,480
9,7,1,38,255,33,288,1.5,480
9,7,2,13,702,23,725,1.0,480
9,7,3,5,275,27,302,1.0,480
9,8,1,26,357,8,365,1.0,480
9,8,3,21,399,10,409,1.5,480
9,9,1,4,511,51,562,0.8,480
9,9,2,27,570,2,572,0.8,480
9,9,3,5,338,29,367,1.0,480
9,10,2,37,584,52,636,1.2,480
9,10,3,21,273,35,308,1.5,480
9,11,1,6,277,15,292,1.5,480
9,11,2,28,775,91,866,1.5,480
9,11,3,26,306,30,336,1.0,480
9,12,3,2,752,97,849,0.8,480
9,13,1,37,386,20,406,1.2,480
9,13,2,21,630,41,671,1.5,480
9,13,3,10,627,65,692,1.2,480
9,14,3,21,678,28,706,1.5,480
9,15,2,5,257,7,264,1.0,480
10,1,1,2,637,5,642,0.8,480
10,1,2,5,502,49,551,1.0,480
10,2,2,18,589,13,602,1.2,480
10,2,3,28,700,93,793,1.5,480
10,3,1,25,724,62,786,1.5,480
10,3,2,17,690,42,732,1.2,480
10,3,3,1,794,23,817,1.5,480
10,4,1,20,785,46,831,1.5,480
10,4,2,22,435,27,462,1.2,480
10,4,3,14,234,18,252,1.0,480
10,5,1,11,661,53,714,1.0,480
10,5,2,36,502,74,576,0.8,480
10,5,3,12,755,19,774,1.5,480
10,6,3,30,479,46,525,1.5,480
10,7,1,35,547,65,612,0.8,480
10,7,2,31,631,59,690,1.2,480
10,7,3,14,328,45,373,1.0,480
10,8,1,11,684,70,754,1.0,480
10,8,2,22,765,39,804,1.2,480
10,8,3,22,355,22,377,1.2,480
10,9,1,25,547,54,601,1.5,480
10,10,2,33,306,7,313,0.8,480
10,10,3,39,578,74,652,1.0,480
10,11,2,16,512,46,558,1.2,480
10,11,3,9,772,33,805,1.0,480
10,12,1,14,276,4,280,1.0,480
10,12,3,33,755,1,756,0.8,480
10,13,1,30,280,40,320,1.5,480
10,13,2,8,350,21,371,1.0,480
10,13,3,28,323,46,369,1.5,480
10,14,1,27,665,39,704,0.8,480
10,14,2,29,742,105,847,0.8,480
10,14,3,10,446,20,466,1.2,480
10,15,2,31,503,23,526,1.2,480
10,15,3,36,687,9,696,0.8,480
11,1,1,1,794,33,827,1.5,480
11,1,2,2,450,64,514,0.8,480
11,1,3,28,296,14,310,1.5,480
11,2,1,9,524,36,560,1.0,480
11,2,2,5,390,32,422,1.0,480
11,2,3,5,517,61,578,1.0,480
11,3,1,19,282,7,289,1.5,480
11,3,2,22,393,24,417,1.2,480
11,4,1,33,506,55,561,0.8,480
11,4,2,5,326,36,362,1.0,480
11,4,3,34,354,42,396,1.0,480
11,5,1,40,662,41,703,1.5,480
11,5,2,36,667,53,720,0.8,480
11,5,3,8,542,58,600,1.0,480
11,6,1,16,723,70,793,1.2,480
11,6,2,19,761,32,793,1.5,480
11,7,1,32,617,82,699,0.8,480
11,8,1,17,256,37,293,1.2,480
11,8,2,17,244,32,276,1.2,480
11,8,3,20,269,21,290,1.5,480
11,9,1,22,420,41,461,1.2,480
11,9,2,13,305,37,342,1.0,480
11,10,1,28,541,35,576,1.5,480
11,10,2,1,241,34,275,1.5,480
11,10,3,18,721,80,801,1.2,480
11,11,1,27,357,41,398,0.8,480
11,11,2,13,736,107,843,1.0,480
11,11,3,4,414,46,460,0.8,480
11,12,1,9,288,32,320,1.0,480
11,12,2,21,607,49,656,1.5,480
11,12,3,5,714,63,777,1.0,480
11,13,1,3,342,50,392,1.5,480
11,13,2,2,661,76,737,0.8,480
11,14,1,4,526,69,595,0.8,480
11,14,2,4,721,48,769,0.8,480
11,14,3,3,733,21,754,1.5,480
11,15,1,36,394,38,432,0.8,480
11,15,2,24,323,44,367,1.0,480
11,15,3,20,316,21,337,1.5,480
12,1,1,15,372,30,402,1.2,480
12,1,2,37,656,5,661,1.2,480
12,1,3,27,644,8,652,0.8,480
12,2,1,17,728,89,817,1.2,480
12,2,2,24,313,20,333,1.0,480
12,2,3,21,549,32,581,1.5,480
12,3,2,24,466,28,494,1.0,480
12,3,3,36,731,18,749,0.8,480
12,4,1,29,612,74,686,0.8,480
12,4,2,2,778,61,839,0.8,480
12,4,3,12,369,45,414,1.5,480
12,5,1,14,708,10,718,1.0,480
12,5,2,25,701,9,710,1.5,480
12,5,3,13,239,16,255,1.0,480
12,6,2,39,292,5,297,1.0,480
12,7,1,19,274,20,294,1.5,480
12,7,2,20,718,43,761,1.5,480
12,7,3,25,749,61,810,1.5,480
12,8,1,33,585,41,626,0.8,480
12,8,2,32,793,114,907,0.8,480
12,8,3,4,424,57,481,0.8,480
12,9,1,34,357,49,406,1.0,480
12,9,2,23,275,38,313,1.2,480
12,9,3,4,324,35,359,0.8,480
12,10,1,4,220,9,229,0.8,480
12,11,2,27,200,7,207,0.8,480
12,12,1,16,526,4,530,1.2,480
12,12,2,29,750,70,820,0.8,480
12,12,3,39,571,73,644,1.0,480
12,13,1,39,415,61,476,1.0,480
12,13,2,4,571,11,582,0.8,480
12,13,3,32,797,24,821,0.8,480
12,14,1,23,705,99,804,1.2,480
12,14,2,16,799,94,893,1.2,480
12,14,3,37,694,34,728,1.2,480
12,15,1,3,749,33,782,1.5,480
12,15,2,8,656,87,743,1.0,480
12,15,3,15,603,63,666,1.2,480
13,1,1,30,767,10,777,1.5,480
13,1,2,16,230,5,235,1.2,480
13,1,3,21,716,70,786,1.5,480
13,2,1,28,227,18,245,1.5,480
13,2,3,10,791,62,853,1.2,480
13,3,1,36,763,87,850,0.8,480
13,3,2,7,435,35,470,1.0,480
13,3,3,10,762,49,811,1.2,480
13,4,1,30,714,8,722,1.5,480
13,4,2,31,783,49,832,1.2,480
13,4,3,1,269,7,276,1.5,480
13,5,1,18,513,46,559,1.2,480
13,5,3,25,599,34,633,1.5,480
13,6,1,20,480,43,523,1.5,480
13,6,2,17,256,18,274,1.2,480
13,6,3,13,345,47,392,1.0,480
13,7,1,6,538,23,561,1.5,480
13,7,2,18,708,12,720,1.2,480
13,7,3,14,302,40,342,1.0,480
13,8,1,8,532,46,578,1.0,480
13,8,2,18,671,95,766,1.2,480
13,8,3,1,779,93,872,1.5,480
13,9,1,27,265,24,289,0.8,480
13,9,3,32,624,23,647,0.8,480
13,10,1,11,366,36,402,1.0,480
13,10,2,29,236,32,268,0.8,480
13,10,3,32,399,39,438,0.8,480
13,11,1,1,594,52,646,1.5,480
13,11,2,4,678,58,736,0.8,480
13,11,3,9,468,33,501,1.0,480
13,12,1,10,265,18,283,1.2,480
13,12,2,16,418,15,433,1.2,480
13,12,3,4,635,59,694,0.8,480
13,13,3,3,663,36,699,1.5,480
13,14,1,11,468,26,494,1.0,480
13,14,2,16,492,23,515,1.2,480
13,14,3,22,205,19,224,1.2,480
13,15,1,39,430,7,437,1.0,480
13,15,2,28,569,51,620,1.5,480
13,15,3,16,537,50,587,1.2,480
14,1,1,1,704,23,727,1.5,480
14,1,2,11,244,33,277,1.0,480
14,2,1,27,200,3,203,0.8,480
14,2,2,27,276,10,286,0.8,480
14,2,3,36,347,18,365,0.8,480
14,3,1,5,270,8,278,1.0,480
14,3,2,13,412,43,455,1.0,480
14,4,1,31,674,66,740,1.2,480
14,4,2,6,421,27,448,1.5,480
14,4,3,20,693,37,730,1.5,480
14,5,1,30,755,33,788,1.5,480
14,5,2,1,795,24,819,1.5,480
14,6,2,25,766,73,839,1.5,480
14,6,3,27,422,47,469,0.8,480
14,7,2,25,370,21,391,1.5,480
14,7,3,8,618,38,656,1.0,480
14,8,1,18,266,9,275,1.2,480
14,8,2,18,603,20,623,1.2,480
14,8,3,19,322,19,341,1.5,480
14,9,1,31,313,26,339,1.2,480
14,9,2,4,619,21,640,0.8,480
14,9,3,24,690,9,699,1.0,480
14,10,1,38,261,25,286,1.5,480
14,10,2,37,693,85,778,1.2,480
14,10,3,30,476,49,525,1.5,480
14,11,1,21,378,37,415,1.5,480
14,11,2,27,599,30,629,0.8,480
14,11,3,34,293,16,309,1.0,480
14,12,1,20,796,50,846,1.5,480
14,12,3,15,608,54,662,1.2,480
14,13,1,40,283,21,304,1.5,480
14,13,2,1,435,2,437,1.5,480
14,13,3,39,667,75,742,1.0,480
14,14,2,30,678,58,736,1.5,480
14,14,3,18,442,33,475,1.2,480
14,15,1,18,384,8,392,1.2,480
14,15,3,13,437,14,451,1.0,480
15,1,2,1,779,96,875,1.5,480
15,1,3,35,660,42,702,0.8,480
15,2,1,18,263,30,293,1.2,480
15,2,2,5,796,48,844,1.0,480
15,3,1,26,794,3,797,1.0,480
15,3,2,29,743,61,804,0.8,480
15,3,3,28,223,32,255,1.5,480
15,4,1,38,618,17,635,1.5,480
15,4,2,30,591,25,616,1.5,480
15,4,3,19,231,24,255,1.5,480
15,5,1,18,668,67,735,1.2,480
15,5,2,20,203,13,216,1.5,480
15,5,3,5,794,72,866,1.0,480
15,6,1,32,461,34,495,0.8,480
15,6,2,9,261,19,280,1.0,480
15,6,3,8,461,66,527,1.0,480
15,7,1,28,711,5,716,1.5,480
15,7,2,28,743,43,786,1.5,480
15,7,3,5,376,8,384,1.0,480
15,8,1,17,521,5,526,1.2,480
15,8,2,14,487,39,526,1.0,480
15,8,3,28,385,41,426,1.5,480
15,9,1,5,308,15,323,1.0,480
15,9,2,13,732,82,814,1.0,480
15,10,1,35,219,5,224,0.8,480
15,10,2,12,279,37,316,1.5,480
15,10,3,17,409,52,461,1.2,480
15,11,1,15,415,53,468,1.2,480
15,11,2,36,314,41,355,0.8,480
15,11,3,1,569,72,641,1.5,480
15,12,1,26,794,112,906,1.0,480
15,12,2,3,280,33,313,1.5,480
15,12,3,21,240,31,271,1.5,480
15,13,1,17,382,39,421,1.2,480
15,13,2,4,312,39,351,0.8,480
15,13,3,39,307,32,339,1.0,480
15,14,1,11,248,35,283,1.0,480
15,14,2,10,609,17,626,1.2,480
15,14,3,20,448,34,482,1.5,480
15,15,1,13,582,71,653,1.0,480
15,15,2,8,262,24,286,1.0,480
15,15,3,33,486,31,517,0.8,480
16,1,1,25,525,68,593,1.5,480
16,1,3,9,588,28,616,1.0,480
16,2,1,6,732,86,818,1.5,480
16,2,2,12,345,43,388,1.5,480
16,2,3,25,717,86,803,1.5,480
16,3,1,20,219,14,233,1.5,480
16,3,2,25,488,42,530,1.5,480
16,3,3,14,642,79,721,1.0,480
16,4,1,22,298,27,325,1.2,480
16,4,2,16,537,76,613,1.2,480
16,5,2,2,606,79,685,0.8,480
16,5,3,11,240,0,240,1.0,480
16,6,1,17,365,12,377,1.2,480
16,6,2,4,469,22,491,0.8,480
16,6,3,1,203,8,211,1.5,480
16,7,3,10,429,35,464,1.2,480
16,8,1,5,725,78,803,1.0,480
16,8,2,31,710,17,727,1.2,480
16,8,3,27,427,27,454,0.8,480
16,9,1,14,663,40,703,1.0,480
16,9,2,5,372,25,397,1.0,480
16,9,3,16,639,35,674,1.2,480
16,10,1,30,498,53,551,1.5,480
16,10,2,8,673,51,724,1.0,480
16,10,3,9,628,35,663,1.0,480
16,11,1,31,708,85,793,1.2,480
16,11,2,31,632,82,714,1.2,480
16,11,3,7,414,15,429,1.0,480
16,12,1,24,272,15,287,1.0,480
16,12,2,16,418,40,458,1.2,480
16,12,3,35,665,33,698,0.8,480
16,13,1,6,275,34,309,1.5,480
16,13,2,32,316,46,362,0.8,480
16,13,3,11,411,10,421,1.0,480
16,14,1,40,406,18,424,1.5,480
16,14,2,27,781,80,861,0.8,480
16,14,3,23,624,33,657,1.2,480
16,15,1,30,472,4,476,1.5,480
16,15,3,31,363,19,382,1.2,480
17,1,1,18,363,27,390,1.2,480
17,1,2,8,358,28,386,1.0,480
17,1,3,15,616,40,656,1.2,480
17,2,1,17,471,20,491,1.2,480
17,2,2,9,786,114,900,1.0,480
17,2,3,12,522,52,574,1.5,480
17,3,1,15,731,98,829,1.2,480
17,3,3,7,450,46,496,1.0,480
17,4,1,15,755,74,829,1.2,480
17,4,2,17,655,68,723,1.2,480
17,4,3,28,619,21,640,1.5,480
17,5,1,38,621,27,648,1.5,480
17,5,2,16,535,67,602,1.2,480
17,5,3,36,361,44,405,0.8,480
17,6,2,12,510,3,513,1.5,480
17,6,3,2,589,16,605,0.8,480
17,7,1,7,798,23,821,1.0,480
17,7,2,33,297,21,318,0.8,480
17,7,3,36,200,21,221,0.8,480
17,8,1,27,352,11,363,0.8,480
17,8,2,4,383,28,411,0.8,480
17,8,3,10,668,71,739,1.2,480
17,9,1,19,416,30,446,1.5,480
17,9,2,3,443,46,489,1.5,480
17,9,3,7,743,29,772,1.0,480
17,10,1,3,669,11,680,1.5,480
17,10,2,5,562,44,606,1.0,480
17,10,3,12,344,38,382,1.5,480
17,11,1,15,676,68,744,1.2,480
17,12,1,28,470,46,516,1.5,480
17,12,2,17,581,82,663,1.2,480
17,12,3,29,322,33,355,0.8,480
17,13,1,27,272,11,283,0.8,480
17,13,3,36,557,26,583,0.8,480
17,14,2,4,534,31,565,0.8,480
17,15,3,39,339,9,348,1.0,480
18,1,1,2,375,3,378,0.8,480
18,1,3,11,395,11,406,1.0,480
18,2,1,9,788,58,846,1.0,480
18,2,2,8,739,36,775,1.0,480
18,2,3,28,395,49,444,1.5,480
18,3,1,37,395,12,407,1.2,480
18,3,3,34,269,14,283,1.0,480
18,4,3,35,251,7,258,0.8,480
18,5,1,35,734,25,759,0.8,480
18,5,2,29,384,6,390,0.8,480
18,5,3,37,200,5,205,1.2,480
18,6,1,9,405,19,424,1.0,480
18,6,2,40,655,44,699,1.5,480
18,7,1,36,377,17,394,0.8,480
18,7,2,33,735,102,837,0.8,480
18,7,3,8,285,32,317,1.0,480
18,8,1,24,320,33,353,1.0,480
18,8,2,23,430,4,434,1.2,480
18,8,3,10,437,11,448,1.2,480
18,9,3,20,615,71,686,1.5,480
18,10,1,20,386,19,405,1.5,480
18,10,3,11,547,66,613,1.0,480
18,11,1,38,330,39,369,1.5,480
18,11,2,3,639,81,720,1.5,480
18,11,3,33,202,29,231,0.8,480
18,12,1,4,786,45,831,0.8,480
18,12,2,12,279,8,287,1.5,480
18,12,3,21,463,44,507,1.5,480
18,13,1,29,693,1,694,0.8,480
18,13,3,23,375,11,386,1.2,480
18,14,2,34,671,33,704,1.0,480
18,14,3,39,700,75,775,1.0,480
18,15,1,15,463,53,516,1.2,480
18,15,2,32,737,4,741,0.8,480
18,15,3,16,667,63,730,1.2,480
19,1,1,3,519,1,520,1.5,480
19,1,2,25,707,11,718,1.5,480
19,2,2,9,766,73,839,1.0,480
19,2,3,22,714,87,801,1.2,480
19,3,1,22,627,0,627,1.2,480
19,3,2,34,415,3,418,1.0,480
19,3,3,34,616,44,660,1.0,480
19,4,1,37,468,54,522,1.2,480
19,4,3,13,446,53,499,1.0,480
19,5,1,14,532,18,550,1.0,480
19,5,2,16,265,17,282,1.2,480
19,5,3,31,707,60,767,1.2,480
19,6,1,28,416,12,428,1.5,480
19,6,2,31,628,56,684,1.2,480
19,6,3,40,534,37,571,1.5,480
19,7,1,36,339,25,364,0.8,480
19,7,2,28,252,9,261,1.5,480
